target_canonical_institution_id,target_institution_name,target_state,target_county,cms_facility_id,cms_facility_name,cms_address,cms_city,cms_state,cms_zip,cms_county,cms_hospital_type,cms_ownership,cms_emergency_services,name_similarity,exact_norm_match
ME-aroostook-001,Northern Light A.R. Gould Hospital (Presque Isle),ME,Aroostook,200018,NORTHERN LIGHT  A R GOULD HOSPITAL,PO BOX 151,PRESQUE ISLE,ME,04769,AROOSTOOK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,True
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,200050,NORTHERN LIGHT MAINE COAST HOSPITAL,50 UNION STREET,ELLSWORTH,ME,04605,HANCOCK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.0,False
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,200021,MAINEHEALTH MID COAST HOSPITAL,123 MEDICAL CENTER DRIVE,BRUNSWICK,ME,04011,CUMBERLAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.8,False
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,200039,MAINE GENERAL MEDICAL CENTER,35 MEDICAL CENTER PARKWAY,AUGUSTA,ME,04330,KENNEBEC,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.625,False
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,200009,MAINEHEALTH MAINE MEDICAL CENTER,22 BRAMHALL ST,PORTLAND,ME,04102,CUMBERLAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.625,False
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,201302,LINCOLNHEALTH,35 MILES STREET,DAMARISCOTTA,ME,04543,LINCOLN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,0.5,False
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,201307,MILLINOCKET REGIONAL HOSPITAL,200 SOMERSET STREET,MILLINOCKET,ME,04462,PENOBSCOT,Critical Access Hospitals,Voluntary non-profit - Private,Yes,0.455,False
ME-knox-001,Pen Bay Medical Center (MaineHealth),ME,Knox,200063,MAINEHEALTH PEN BAY HOSPITAL,6 GLEN COVE DRIVE,ROCKPORT,ME,04856,KNOX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,False
ME-knox-001,Pen Bay Medical Center (MaineHealth),ME,Knox,201303,PENOBSCOT VALLEY HOSPITAL,"7 TRANSALPINE ROAD, PO BOX 368",LINCOLN,ME,04457,PENOBSCOT,Critical Access Hospitals,Voluntary non-profit - Private,Yes,0.522,False
ME-lincoln-001,LincolnHealth (MaineHealth),ME,Lincoln,201302,LINCOLNHEALTH,35 MILES STREET,DAMARISCOTTA,ME,04543,LINCOLN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,1.0,True
