canonical_institution_id,institution_name,state,county,nppes_status,cms_status,cms_facility_id,cms_facility_name,cms_address,cms_city,cms_zip,cms_hospital_type,cms_confidence,candidate_count,runner_up_ccn,runner_up_name,runner_up_sim,nppes_npi,nppes_org_name,nppes_confidence,yield_class,official_source_url,packet_path,is_medical_school_no_cms_record
ME-aroostook-001,Northern Light A.R. Gould Hospital (Presque Isle),ME,Aroostook,NO_NPPES_MATCH,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200018,NORTHERN LIGHT  A R GOULD HOSPITAL,PO BOX 151,PRESQUE ISLE,04769,Acute Care Hospitals,1.0,1,,,,,,0.0,NOT_FOUND,,,False
ME-cumberland-002,Maine Track Program (Tufts/MMC),ME,Cumberland,REJECTED_NAME_ONLY,CMS_NO_MATCH,,,,,,,0.0,0,,,,1376829598,"MAINE MOBILE HEALTH PROGRAM, INC.",0.465,NOT_FOUND,https://medicine.tufts.edu/academics/medicine/maine-track-md,p97-institution-packets/ME/Cumberland/maine-track-program-tufts-mmc.json,True
ME-hancock-001,Maine Coast Memorial / Mount Desert Island Hospital,ME,Hancock,REJECTED_NAME_ONLY,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200050,NORTHERN LIGHT MAINE COAST HOSPITAL,50 UNION STREET,ELLSWORTH,04605,Acute Care Hospitals,1.0,6,200021,MAINEHEALTH MID COAST HOSPITAL,0.8,1952717084,MAINE COAST ORAL SURGERY,0.473,NOT_FOUND,,,False
ME-knox-001,Pen Bay Medical Center (MaineHealth),ME,Knox,REJECTED_NAME_ONLY,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200063,MAINEHEALTH PEN BAY HOSPITAL,6 GLEN COVE DRIVE,ROCKPORT,04856,Acute Care Hospitals,1.0,2,201303,PENOBSCOT VALLEY HOSPITAL,0.522,1164668943,PENOBSCOT BAY MEDICAL CENTER,0.47,NOT_FOUND,,,False
ME-lincoln-001,LincolnHealth (MaineHealth),ME,Lincoln,AMBIGUOUS_MULTI_NPI,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,201302,LINCOLNHEALTH,35 MILES STREET,DAMARISCOTTA,04543,Critical Access Hospitals,1.0,4,201307,MILLINOCKET REGIONAL HOSPITAL,0.5,1558798165,LINCOLNHEALTH,0.95,NOT_FOUND,,,False
ME-oxford-001,Stephens Memorial Hospital (MaineHealth),ME,Oxford,NO_NPPES_MATCH,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,201315,MAINEHEALTH STEPHENS HOSPITAL,181 MAIN STREET,NORWAY,04268,Critical Access Hospitals,1.0,2,200001,ST JOSEPH HOSPITAL,0.588,,,0.0,NOT_FOUND,,,False
ME-penobscot-001,Northern Light Acadia Hospital (Psychiatry),ME,Penobscot,PARENT_ONLY_NOT_CAMPUS_PROVEN,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,204006,NORTHERN LIGHT ACADIA HOSPITAL,268 STILLWATER AVE,BANGOR,04401,Psychiatric,1.0,1,,,,1568477297,"ACADIA HEALTHCARE, INC",0.75,NOT_FOUND,https://northernlighthealth.org/Our-System/Acadia-Hospital,,False
ME-penobscot-002,Northern Light Eastern Maine Medical Center (EMMC),ME,Penobscot,AMBIGUOUS_MULTI_NPI,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200033,NORTHERN LIGHT EASTERN MAINE MEDICAL CENTER,489 STATE STREET,BANGOR,04401,Acute Care Hospitals,1.0,7,201317,NORTHERN MAINE MEDICAL CENTER,0.741,1790789147,EASTERN MAINE MEDICAL CENTER,0.75,NOT_FOUND,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center,,False
ME-piscataquis-001,Mayo Regional Hospital,ME,Piscataquis,REJECTED_NAME_ONLY,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,201309,NORTHERN LIGHT MAYO HOSPITAL,897 WEST MAIN STREET,DOVER FOXCROFT,04426,Critical Access Hospitals,1.0,4,200031,CARY MEDICAL CENTER,0.5,1508823741,HOULTON REGIONAL HOSPITAL,0.469,NOT_FOUND,,,False
ME-somerset-001,Redington-Fairview General Hospital,ME,Somerset,AMBIGUOUS_MULTI_NPI,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,201314,REDINGTON FAIRVIEW GENERAL HOSPITAL,46 FAIRVIEW AVE   PO BOX 468,SKOWHEGAN,04976,Critical Access Hospitals,1.0,2,201310,BRIDGTON HOSPITAL,0.462,1851423008,REDINGTON-FAIRVIEW GENERAL HOSPITAL,0.95,NOT_FOUND,,,False
ME-york-002,University of New England College of Osteopathic Medicine (UNECOM),ME,York,REJECTED_NAME_ONLY,CMS_NO_MATCH,,,,,,,0.0,0,,,,1356917702,UNIVERSITY OF NEW ENGLAND SCHOOL OF NURSE ANESTHESIA,0.468,NOT_FOUND,https://www.une.edu/com,,True
ME-york-003,York Hospital,ME,York,AMBIGUOUS_MULTI_NPI,VERIFIED_CMS_CCN_ADDRESS_BRIDGE,200020,YORK HOSPITAL,15 HOSPITAL DRIVE,YORK,03909,Acute Care Hospitals,1.0,2,201309,NORTHERN LIGHT MAYO HOSPITAL,0.5,1467786731,YORK HOSPITAL,0.95,NOT_FOUND,https://www.yorkhospital.com/,,False
