state,county,institution_name,match_tier,confidence,npi,org_name,pl_addr1,pl_city,pl_state,pl_zip,taxonomy_1,is_hospital_taxonomy,deactivation_date,runner_up_npi,runner_up_name,runner_up_tier,runner_up_conf,candidate_count
ME,Cumberland,Maine Medical Center (MMC),EXACT_NAME_ZIP,0.95,1376847343,MAINE MEDICAL CENTER,887 CONGRESS ST,PORTLAND,ME,041023100,282N00000X,True,,1689653487,CENTRAL MAINE MEDICAL CENTER,NAME_ONLY,0.278,500
ME,Cumberland,Maine Track Program (Tufts/MMC),NAME_ONLY,0.465,1376829598,"MAINE MOBILE HEALTH PROGRAM, INC.",79 LEIGHTON RD,AUGUSTA,ME,043307747,261QF0400X,True,,1023198041,MAINE HEART CENTER,NAME_ONLY,0.216,500
ME,Penobscot,Northern Light Eastern Maine Medical Center (EMMC),NAME_ONLY,0.463,1790789147,EASTERN MAINE MEDICAL CENTER,489 STATE ST,BANGOR,ME,044016616,282N00000X,True,,1598755399,EASTERN MAINE MEDICAL CENTER,NAME_ONLY,0.463,500
ME,Penobscot,Northern Light Acadia Hospital (Psychiatry),NAME_ONLY,0.286,1568465144,NORTHERN MAINE MEDICAL CENTER,194 EAST MAIN STREET,FORT KENT,ME,047431428,282N00000X,True,,1831311968,NORTHERN LIGHTHOUSE INC.,NAME_ONLY,0.47,136
ME,Kennebec,MaineGeneral Medical Center,EXACT_NAME_ZIP,0.95,1447289996,MAINEGENERAL MEDICAL CENTER,35 MEDICAL CENTER PARKWAY,AUGUSTA,ME,04330,273Y00000X,True,,1669423380,MAINEGENERAL MEDICAL CENTER,EXACT_NAME_ZIP,0.95,37
ME,Kennebec,Togus VA Medical Center,EXACT_NAME_ZIP,0.95,1679768568,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,286500000X,True,,1952495590,TOGUS VA MEDICAL CENTER,EXACT_NAME_ZIP,0.95,14
ME,Androscoggin,Central Maine Medical Center / Central Maine Healthcare,EXACT_NAME_ZIP,0.95,1689653487,CENTRAL MAINE MEDICAL CENTER,300 MAIN ST,LEWISTON,ME,042407027,282N00000X,True,,1073651576,CENTRAL MAINE MEDICAL CENTER,EXACT_NAME_ZIP,0.95,60
ME,York,University of New England College of Osteopathic Medicine (UNECOM),NAME_ONLY,0.468,1356917702,UNIVERSITY OF NEW ENGLAND SCHOOL OF NURSE ANESTHESIA,716 STEVENS AVE,PORTLAND,ME,041032656,390200000X,False,,1952977001,UNIVERSITY OF NEW ENGLAND MNA,NAME_ONLY,0.463,226
ME,York,York Hospital,EXACT_NAME_ZIP,0.95,1134403223,YORK HOSPITAL,16 HOSPITAL DR STE C,YORK,ME,039091011,282N00000X,True,,1467786731,YORK HOSPITAL,EXACT_NAME_ZIP,0.95,83
ME,York,MaineHealth Maine Medical Center Biddeford (former Southern Maine Health Care),NAME_ONLY,0.241,1376829598,"MAINE MOBILE HEALTH PROGRAM, INC.",79 LEIGHTON RD,AUGUSTA,ME,043307747,261QF0400X,True,,1740249739,MAINE COAST REGIONAL HEALTH FACILITIES,NAME_ONLY,0.231,500
