listingIdOrSlug,title,institution,sourceUrl,applicationUrl,targetFit,discardReason,evidenceQuoteOrObservedText,screenshotPath,jsonSidecarPath,reviewerConfidence,recommendedAction,canReconsiderLater,futureLaneCandidate,notes
cmn2111jv001esb1197ufjp8u,"Northwell Health System","","https://international.northwell.edu/consulting-advisory-services","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111jv001esb1197ufjp8u-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111jv001esb1197ufjp8u-20260502.json,low,WRONG_PAGE_REPLACE,true,"None","Source verdict: LIKELY_WRONG_PAGE; reason: \"wrong_page_hints:consulting,advisory services\""
cmn2113fn005usb11jprkbjsa,"VCU Health / MCV Hospitals","","https://www.vcuhealth.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113fn005usb11jprkbjsa-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113fn005usb11jprkbjsa-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2112fx003isb11x5b08yua,"UT Health San Antonio","","https://www.uthscsa.edu/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112fx003isb11x5b08yua-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112fx003isb11x5b08yua-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn211162000isb11ch7hhgdh,"Mount Sinai Morningside / West","","https://www.mountsinai.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211162000isb11ch7hhgdh-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211162000isb11ch7hhgdh-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2112790030sb11lgcyjgkr,"MedStar Georgetown University Hospital","","https://www.medstarhealth.org/education","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112790030sb11lgcyjgkr-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112790030sb11lgcyjgkr-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn21145j007gsb11ba86v05m,"Baylor College of Medicine — Postdoctoral Research","","https://www.bcm.edu/","",MAYBE_TARGET_MANUAL_REVIEW,"\"Research fellowship\" / \"postdoctoral\" framing is ambiguous — could be clinical research for medical graduates (target-relevant) or basic-science postdoc (non-target).","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21145j007gsb11ba86v05m-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21145j007gsb11ba86v05m-20260502.json,low,NEEDS_BETTER_SOURCE,true,"Basic science / postdoc research lane (if non-clinical)","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2111el0016sb11s4ch7y7z,"Wyckoff Heights Medical Center","","https://www.wyckoffhospital.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111el0016sb11s4ch7y7z-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111el0016sb11s4ch7y7z-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2115qt00b8sb11lj2ug8jv,"Geisinger Medical Center","","https://www.geisinger.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2115qt00b8sb11lj2ug8jv-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2115qt00b8sb11lj2ug8jv-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2112qu0044sb11m7wwscho,"Duke University Hospital","","https://medschool.duke.edu/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112qu0044sb11m7wwscho-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112qu0044sb11m7wwscho-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn21144u007esb11pfjw2mj2,"Yale School of Medicine — Postdoctoral Research","","https://postdocs.yale.edu/","",MAYBE_TARGET_MANUAL_REVIEW,"\"Research fellowship\" / \"postdoctoral\" framing is ambiguous — could be clinical research for medical graduates (target-relevant) or basic-science postdoc (non-target).","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21144u007esb11pfjw2mj2-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21144u007esb11pfjw2mj2-20260502.json,low,NEEDS_BETTER_SOURCE,true,"Basic science / postdoc research lane (if non-clinical)","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2111qh001wsb111gq2cngn,"UC Irvine Medical Center","","https://www.ucihealth.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111qh001wsb111gq2cngn-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111qh001wsb111gq2cngn-20260502.json,low,SOURCE_DEAD_REVIEW,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2111r6001ysb11czxooaqe,"Loma Linda University Medical Center","","https://lluh.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111r6001ysb11czxooaqe-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111r6001ysb11czxooaqe-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2112yq004qsb11hveu7mqi,"Mercy Hospital St. Louis","","https://www.mercy.net/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112yq004qsb11hveu7mqi-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112yq004qsb11hveu7mqi-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn2114xq009csb115qvu2i90,"Flushing Hospital Medical Center","","https://www.flushinghospital.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2114xq009csb115qvu2i90-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2114xq009csb115qvu2i90-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmo33857o000v1ny9ekt4l5sp,"UCSF Neuropathology Visiting Scholars Program","","https://pathology.ucsf.edu/clinical/ap/neuropath/visiting-scholars","",MAYBE_TARGET_MANUAL_REVIEW,"\"Visiting Scholars\" / \"Medical Staff Services\" wording often denotes faculty or licensed-provider programs rather than student/IMG observerships.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo33857o000v1ny9ekt4l5sp-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo33857o000v1ny9ekt4l5sp-20260502.json,low,MANUAL_REVIEW,true,"Specialist/faculty opportunities (if not for students/IMGs)","Source verdict: DEEP_PATH_NO_HINT; reason: \"no_keyword_match\""
cmn2111ce0010sb11kh0qbbxa,"Metropolitan Hospital Center","","https://www.nychealthandhospitals.org/metropolitan/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111ce0010sb11kh0qbbxa-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111ce0010sb11kh0qbbxa-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
cmn211569009usb119spp0t4q,"Crozer-Chester Medical Center","","https://www.crozerhealth.org/","",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.","",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211569009usb119spp0t4q-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211569009usb119spp0t4q-20260502.json,low,NEEDS_BETTER_SOURCE,true,"None","Source verdict: GENERIC_HOMEPAGE; reason: \"path_is_generic\""
