id,title,sourceUrl,contentVerdict,contentReason,sourceHttpStatus,sourceFinalUrl,recommendedAction,uscehubScreenshot,sourceScreenshot,jsonSidecar,note,targetFit,targetFitReason,matchRelevance,manualReviewNeeded,excludeFromCurrentWedge,futureLaneCandidate
cmn2111jv001esb1197ufjp8u,"Northwell Health System","https://international.northwell.edu/consulting-advisory-services",LIKELY_WRONG_PAGE,"wrong_page_hints:consulting,advisory services",200,"https://international.northwell.edu/consulting-advisory-services",WRONG_PAGE_REPLACE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111jv001esb1197ufjp8u-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111jv001esb1197ufjp8u-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111jv001esb1197ufjp8u-20260502.json,"Source URL contains wrong-page hint; admin re-link.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmo34f4ey001h1nxx722orcxh,"UW Medicine Seattle Visiting Students Program","https://www.uwmedicine.org/school-of-medicine/visiting-students-program/visiting-us-canada",PATH_HINTS_PROGRAM,"path_keywords:visiting student,visiting students",403,"https://www.uwmedicine.org/school-of-medicine/visiting-students-program/visiting-us-canada",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f4ey001h1nxx722orcxh-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo34f4ey001h1nxx722orcxh-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f4ey001h1nxx722orcxh-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Strong title/URL match for visiting student / IMG / clerkship.",HIGH,false,false,"None"
cmn2113fn005usb11jprkbjsa,"VCU Health / MCV Hospitals","https://www.vcuhealth.org/",GENERIC_HOMEPAGE,"path_is_generic",200,"https://www.vcuhealth.org/",NEEDS_BETTER_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113fn005usb11jprkbjsa-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2113fn005usb11jprkbjsa-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113fn005usb11jprkbjsa-20260502.json,"Source URL points at a generic homepage; re-link candidate.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmn2112fx003isb11x5b08yua,"UT Health San Antonio","https://www.uthscsa.edu/",GENERIC_HOMEPAGE,"path_is_generic",200,"https://uthscsa.edu/",NEEDS_BETTER_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112fx003isb11x5b08yua-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112fx003isb11x5b08yua-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112fx003isb11x5b08yua-20260502.json,"Source URL points at a generic homepage; re-link candidate.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmn211162000isb11ch7hhgdh,"Mount Sinai Morningside / West","https://www.mountsinai.org/",GENERIC_HOMEPAGE,"path_is_generic",200,"https://www.mountsinai.org/",NEEDS_BETTER_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211162000isb11ch7hhgdh-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn211162000isb11ch7hhgdh-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211162000isb11ch7hhgdh-20260502.json,"Source URL points at a generic homepage; re-link candidate.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmo3385r8001l1ny9zaacztke,"Emory University SOM Visiting Student / Clinical Observership","https://med.emory.edu/education/admissions/visiting/index.html",DEEP_PATH_NO_HINT,"no_keyword_match",200,"https://med.emory.edu/education/admissions/visiting/index.html",MANUAL_REVIEW,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385r8001l1ny9zaacztke-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo3385r8001l1ny9zaacztke-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385r8001l1ny9zaacztke-20260502.json,"Deep path with no keyword hit; review page text manually.",TARGET_USCE_MATCH,"Strong title/URL match for visiting student / IMG / clerkship.",HIGH,false,false,"None"
cmn2112790030sb11lgcyjgkr,"MedStar Georgetown University Hospital","https://www.medstarhealth.org/education",GENERIC_HOMEPAGE,"path_is_generic",200,"https://www.medstarhealth.org/education",NEEDS_BETTER_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112790030sb11lgcyjgkr-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112790030sb11lgcyjgkr-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112790030sb11lgcyjgkr-20260502.json,"Source URL points at a generic homepage; re-link candidate.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmn21145j007gsb11ba86v05m,"Baylor College of Medicine — Postdoctoral Research","https://www.bcm.edu/",GENERIC_HOMEPAGE,"path_is_generic",200,"https://www.bcm.edu/",NEEDS_BETTER_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21145j007gsb11ba86v05m-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21145j007gsb11ba86v05m-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21145j007gsb11ba86v05m-20260502.json,"Source URL points at a generic homepage; re-link candidate.",MAYBE_TARGET_MANUAL_REVIEW,"\"Research fellowship\" / \"postdoctoral\" framing is ambiguous — could be clinical research for medical graduates (target-relevant) or basic-science postdoc (non-target).",UNCLEAR,true,false,"Basic science / postdoc research lane (if non-clinical)"
cmn2111el0016sb11s4ch7y7z,"Wyckoff Heights Medical Center","https://www.wyckoffhospital.org/",GENERIC_HOMEPAGE,"path_is_generic",200,"https://whmcny.org/",NEEDS_BETTER_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111el0016sb11s4ch7y7z-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111el0016sb11s4ch7y7z-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111el0016sb11s4ch7y7z-20260502.json,"Source URL points at a generic homepage; re-link candidate.",TARGET_USCE_MATCH,"No specific target-fit signal; falling back to in-wedge default.",MEDIUM,false,false,"None"
cmo34f3k1000d1nxx22bee6we,"Cleveland Clinic Elective Program","https://my.clevelandclinic.org/departments/elective-program",PATH_HINTS_PROGRAM,"path_keywords:elective",200,"https://my.clevelandclinic.org/departments/elective-program",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f3k1000d1nxx22bee6we-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo34f3k1000d1nxx22bee6we-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f3k1000d1nxx22bee6we-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
