listingId,title,sourceUrl,uscehubScreenshotPath,officialSourceScreenshotPath,applicationScreenshotPath,jsonSidecarPath,verdict,recommendedAction,capturedAt,errorIfAny
cmn2111jv001esb1197ufjp8u,"Northwell Health System","https://international.northwell.edu/consulting-advisory-services",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111jv001esb1197ufjp8u-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111jv001esb1197ufjp8u-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111jv001esb1197ufjp8u-20260502.json,LIKELY_WRONG_PAGE,WRONG_PAGE_REPLACE,2026-05-02T03:35:56.344Z,
cmo34f4ey001h1nxx722orcxh,"UW Medicine Seattle Visiting Students Program","https://www.uwmedicine.org/school-of-medicine/visiting-students-program/visiting-us-canada",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f4ey001h1nxx722orcxh-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo34f4ey001h1nxx722orcxh-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f4ey001h1nxx722orcxh-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.350Z,
cmn2113fn005usb11jprkbjsa,"VCU Health / MCV Hospitals","https://www.vcuhealth.org/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113fn005usb11jprkbjsa-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2113fn005usb11jprkbjsa-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113fn005usb11jprkbjsa-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.353Z,
cmn2112fx003isb11x5b08yua,"UT Health San Antonio","https://www.uthscsa.edu/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112fx003isb11x5b08yua-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112fx003isb11x5b08yua-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112fx003isb11x5b08yua-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.361Z,
cmn211162000isb11ch7hhgdh,"Mount Sinai Morningside / West","https://www.mountsinai.org/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211162000isb11ch7hhgdh-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn211162000isb11ch7hhgdh-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn211162000isb11ch7hhgdh-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.378Z,
cmo3385r8001l1ny9zaacztke,"Emory University SOM Visiting Student / Clinical Observership","https://med.emory.edu/education/admissions/visiting/index.html",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385r8001l1ny9zaacztke-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo3385r8001l1ny9zaacztke-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385r8001l1ny9zaacztke-20260502.json,DEEP_PATH_NO_HINT,MANUAL_REVIEW,2026-05-02T03:35:56.384Z,
cmn2112790030sb11lgcyjgkr,"MedStar Georgetown University Hospital","https://www.medstarhealth.org/education",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112790030sb11lgcyjgkr-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112790030sb11lgcyjgkr-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112790030sb11lgcyjgkr-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.391Z,
cmn21145j007gsb11ba86v05m,"Baylor College of Medicine — Postdoctoral Research","https://www.bcm.edu/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21145j007gsb11ba86v05m-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21145j007gsb11ba86v05m-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21145j007gsb11ba86v05m-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.393Z,
cmn2111el0016sb11s4ch7y7z,"Wyckoff Heights Medical Center","https://www.wyckoffhospital.org/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111el0016sb11s4ch7y7z-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111el0016sb11s4ch7y7z-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111el0016sb11s4ch7y7z-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.398Z,
cmo34f3k1000d1nxx22bee6we,"Cleveland Clinic Elective Program","https://my.clevelandclinic.org/departments/elective-program",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f3k1000d1nxx22bee6we-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo34f3k1000d1nxx22bee6we-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f3k1000d1nxx22bee6we-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.403Z,
cmn2111kl001gsb118m3doyxd,"SUNY Downstate Medical Center","https://www.downstate.edu/education-training/graduate-medical-education/index.html",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111kl001gsb118m3doyxd-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111kl001gsb118m3doyxd-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111kl001gsb118m3doyxd-20260502.json,DEEP_PATH_NO_HINT,MANUAL_REVIEW,2026-05-02T03:35:56.409Z,
