batchId,itemId,listingIdOrSlug,title,currentSourceUrl,currentVerdict,recommendedAction,targetFit,whyNeedsReview
006,cmo33857o000v1ny9ekt4l5sp,cmo33857o000v1ny9ekt4l5sp,UCSF Neuropathology Visiting Scholars Program,https://pathology.ucsf.edu/clinical/ap/neuropath/visiting-scholars,DEEP_PATH_NO_HINT,MANUAL_REVIEW,MAYBE_TARGET_MANUAL_REVIEW,Deep URL path with no program-keyword match; Target fit ambiguous; needs human read; Recommended action: manual review
006,cmn2115gi00amsb11qs31gctb,cmn2115gi00amsb11qs31gctb,Vanderbilt University Medical Center,https://www.vumc.org/observational-services/welcome-vanderbilt-observational-experience-voe-program,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmo3386v300331ny9u212xhza,cmo3386v300331ny9u212xhza,UVA Breast Imaging International Visiting Scholars,https://med.virginia.edu/radiology/education/mini-fellowships/breast-imaging-international-visiting-scholars/,DEEP_PATH_NO_HINT,MANUAL_REVIEW,MAYBE_TARGET_MANUAL_REVIEW,Deep URL path with no program-keyword match; Target fit ambiguous; needs human read; Recommended action: manual review
006,cmo34f3ii000b1nxxbgalsak9,cmo34f3ii000b1nxxbgalsak9,Weill Cornell Visiting International Medical Students Program,https://international.weill.cornell.edu/visiting-international-students,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmo34f42o00111nxxn1hjvuqv,cmo34f42o00111nxxn1hjvuqv,MSK Medical Student Summer Research Fellowship,https://www.mskcc.org/hcp-education-training/medical-students/summer-fellowship,PATH_HINTS_PROGRAM,KEEP_SOURCE,MAYBE_TARGET_MANUAL_REVIEW,Target fit ambiguous; needs human read
006,cmo34f4bp001d1nxxvqahi0gb,cmo34f4bp001d1nxxvqahi0gb,UNC Chapel Hill Visiting Student Program,https://www.med.unc.edu/ome/studentaffairs/visiting-student-program/program-requirements/,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmo34f4nt001t1nxxd5adsmg1,cmo34f4nt001t1nxxd5adsmg1,U Utah Spencer Fox Eccles Visiting Student Program,https://medicine.utah.edu/students/visiting,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmo34f4m9001r1nxxaili4bwg,cmo34f4m9001r1nxxaili4bwg,UC San Diego Visiting Senior Medical Student Program,https://medschool.ucsd.edu/education/md-combined/curriculum/visiting-4th-year-students/index.html,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmo34f3og000j1nxxkiw66iml,cmo34f3og000j1nxxkiw66iml,University of Michigan Visiting Medical Student Program,https://medschool.umich.edu/programs-admissions/visiting-md-students,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmo3385mo001f1ny9t1ilrqd7,cmo3385mo001f1ny9t1ilrqd7,Orlando Health Medical Staff Services Observership,https://www.orlandohealth.com/-/media/files/orlando-health/medical-professionals/observership-application.pdf,PATH_HINTS_PROGRAM,SOURCE_DEAD_REVIEW,,Source did not capture (PDF or dead URL)
006,cmo3385cf00111ny9csmoq699,cmo3385cf00111ny9csmoq699,USF Morsani International Medical Trainee (IMT) Observership,https://health.usf.edu/medicine/ia/international-training-programs,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmn2114dq007ysb119e2itzp9,cmn2114dq007ysb119e2itzp9,USF Health — International Training,https://health.usf.edu/medicine/ia/international-training-programs,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmn2111xq002asb11vcg045uc,cmn2111xq002asb11vcg045uc,University of Chicago Medicine,https://www.uchicagomedicine.org/international/international-collaboration/education-and-training,DEEP_PATH_NO_HINT,MANUAL_REVIEW,TARGET_USCE_MATCH,Deep URL path with no program-keyword match; Recommended action: manual review
006,cmn2115pb00b4sb11t4pwrgjh,cmn2115pb00b4sb11t4pwrgjh,Clinical Experience Programs — Multi-Site,#,UNKNOWN,SOURCE_DEAD_REVIEW,TARGET_USCE_MATCH,Source did not capture (PDF or dead URL)
006,cmn211445007csb111xcgh8v0,cmn211445007csb111xcgh8v0,Penn Medicine — Postdoctoral Research,https://www.med.upenn.edu/postdoc/,PATH_HINTS_PROGRAM,KEEP_SOURCE,MAYBE_TARGET_MANUAL_REVIEW,Target fit ambiguous; needs human read
006,cmn21141e0074sb11knt886rr,cmn21141e0074sb11knt886rr,Global Medical Foundation — USCE Programs,,UNKNOWN,MANUAL_REVIEW,TARGET_USCE_MATCH,Recommended action: manual review
