state,stateFips,county,countyFips,countyStatus,startedAt,completedAt,institutionsIdentified,institutionsSearched,candidatesFound,acceptedCandidates,manualReviewCandidates,rejectedCandidates,duplicateCandidates,notFoundCount,notes
ME,23,Androscoggin,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,7,7,0,0,0,0,"CMHC offers 7 specialty electives (FM sub-I, EM, OB/GYN, Peds, Surgery, IM, Rural FM); ALL accept US/Canadian/INTERNATIONAL students."
ME,23,Aroostook,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,Rural critical-access (Northern Light AR Gould). No teaching program.
ME,23,Cumberland,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,2,8,10,7,2,1,0,0,"MMC + 8 specialty MS pages researched (GenSurg, EM, Anesthesia, IR, FM, Peds, Psychiatry, DR). Visiting MS hub LCME/AOA-only; specialty pages variably permissive. LIC = Tufts-only (rejected)."
ME,23,Franklin,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,Franklin Memorial subsumed under MaineHealth MMC umbrella.
ME,23,Hancock,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,Maine Coast Memorial / MDI Hospital under MaineHealth.
ME,23,Kennebec,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,2,2,1,0,1,0,0,1,Togus VA via affiliations. MaineGeneral confirmed no public MS visiting pathway.
ME,23,Knox,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,Pen Bay Medical Center under MaineHealth.
ME,23,Lincoln,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,LincolnHealth under MaineHealth.
ME,23,Oxford,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,Stephens Memorial under MaineHealth.
ME,23,Penobscot,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,2,3,2,1,1,0,0,2,EMMC Clinical Observational Experience (broad — MD/DO + APP students + practitioners) discovered. EMMC FM Bangor MS rotations exist but not fully documented online — manual review.
ME,23,Piscataquis,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,"Mayo Regional, independent rural — no teaching program."
ME,23,Sagadahoc,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,Mid Coast Hospital under MaineHealth.
ME,23,Somerset,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,"Redington-Fairview, independent rural — no teaching program."
ME,23,Waldo,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,Waldo County General under MaineHealth.
ME,23,Washington,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,1,1,0,0,0,0,0,1,"Down East Community / Calais Regional, rural — no teaching program."
ME,23,York,,COMPLETE,2026-05-02T05:00:30.943Z,2026-05-02T05:00:30.943Z,3,3,0,0,0,0,1,2,"UNECOM internal-only, York Hospital no path, Biddeford = MMC sub-location."
NH,33,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
VT,50,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
MA,25,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
RI,44,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
CT,09,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
NY,36,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
NJ,34,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
PA,42,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
DE,10,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
MD,24,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
DC,11,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
VA,51,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
WV,54,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
NC,37,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
SC,45,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
GA,13,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
FL,12,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
AL,01,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
MS,28,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
TN,47,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
KY,21,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
OH,39,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
IN,18,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
IL,17,__seed__,,NOT_STARTED,,,0,0,0,0,0,0,0,0,Placeholder. Replace with real county list when this state is activated.
