listing_id,institution_name,state,bucket,audience_eligible_source,school_level_caveat_visible,cost_label,window_label,fee_label,source_link_label,last_reviewed_label,report_issue_link,result
pilot-001-NJ-morristown-medical-center,Morristown Medical Center,NJ,US MD/DO per source,us md do (per source),N_A_ORIGINAL_5,N_A,N_A,N_A,Official source,Last reviewed 2026-05-07,Report a listing issue,PASS
pilot-002-NJ-overlook-medical-center,Overlook Medical Center,NJ,US MD/DO per source,us md do,N_A_ORIGINAL_5,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-003-OH-cleveland-clinic-mercy-hospital,Cleveland Clinic Mercy Hospital,OH,IMG-relevant,us md do + international,N_A_ORIGINAL_5,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-004-OH-cleveland-clinic-hillcrest-hospital,Cleveland Clinic Hillcrest Hospital,OH,IMG-relevant,us md do + international,YES_SYSTEM_LEVEL_CAVEAT_PRESENT,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-007-CA-highland-hospital-alameda-health-system,Highland Hospital (Alameda Health System),CA,US MD/DO per source,us md do,N_A_ORIGINAL_5,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-014-NC-duke-university-hospital,Duke University Hospital,NC,US MD/DO per source,us md do,YES,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-017-NY-nyu-langone-tisch-hospital,NYU Langone Health - Tisch Hospital,NY,US MD/DO per source,us md do,YES,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-019-IN-iu-health-methodist-hospital,Indiana University Health Methodist Hospital,IN,US MD/DO per source,us md do,YES,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-016-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,PA,US MD/DO per source,us md do,YES_SYSTEM_LEVEL_CAVEAT_PRESENT,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-015-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,IL,US MD/DO per source,us md do,YES_SYSTEM_LEVEL_CAVEAT_PRESENT,N_A,N_A,N_A,Official source,Last reviewed,Report a listing issue,PASS
pilot-020-TN-vanderbilt-university-medical-center,Vanderbilt University Medical Center,TN,US MD/DO per source,us md do (intl/img/caribbean excluded),YES_SYSTEM_LEVEL_VANDERBILT_SOM_SOURCE_CAVEAT_VISIBLE,N_A,window june to december,fee required 180,Official source,Last reviewed 2026-05-10,Report a listing issue,PASS
pilot-021-CA-ucsf-medical-center,UCSF Medical Center,CA,US MD/DO per source,us md do (intl/img/caribbean excluded),YES_SYSTEM_LEVEL_UCSF_SOM_SOURCE_CAVEAT_VISIBLE,cost not stated,N_A,N_A,Official source,Last reviewed 2026-05-10,Report a listing issue,PASS
