test_case,listing_id,ref,expected_status,actual_status,visible_context_expected,hidden_fields_expected,status,notes
T-CR-01_active_5,pilot-001-NJ-morristown-medical-center,pilot-listing,VALID_LISTING_CONTEXT,VALID_LISTING_CONTEXT,Morristown Medical Center / Morristown NJ,listing_id+ref+runtime_set(active)+evidence_join_key+honeypot,PASS,Active row resolved verbatim
T-CR-02_prior_staged_upmc,pilot-011-PA-upmc-western-psychiatric-hospital,pilot-listing,VALID_LISTING_CONTEXT,VALID_LISTING_CONTEXT,UPMC Western Psychiatric Hospital / Pittsburgh PA,listing_id+ref+runtime_set(staged)+evidence_join_key+honeypot,PASS,Prior staged row resolved
T-CR-03_batch3_jackson,pilot-013-FL-jackson-memorial-hospital,pilot-listing,VALID_LISTING_CONTEXT,VALID_LISTING_CONTEXT,Jackson Memorial Hospital / Miami FL,listing_id+ref+runtime_set(staged)+evidence_join_key+honeypot,PASS,Batch 3 new row resolved
T-CR-04_batch3_duke,pilot-014-NC-duke-university-hospital,pilot-listing,VALID_LISTING_CONTEXT,VALID_LISTING_CONTEXT,Duke University Hospital / Durham NC,listing_id+ref+runtime_set(staged)+evidence_join_key+honeypot,PASS,
T-CR-05_batch3_iu_methodist,pilot-019-IN-iu-health-methodist-hospital,pilot-listing,VALID_LISTING_CONTEXT,VALID_LISTING_CONTEXT,Indiana University Health Methodist Hospital / Indianapolis IN,listing_id+ref+runtime_set(staged)+evidence_join_key+honeypot,PASS,
T-CR-06_invalid_listing_id_regex_pass_unknown,pilot-999-ZZ-fake-hospital,pilot-listing,INVALID_PARAMS_FALLBACK_GENERIC,INVALID_PARAMS_FALLBACK_GENERIC,(none),(none),PASS,Validator-required fall back when listing not in KNOWN_LISTINGS
T-CR-07_invalid_listing_id_regex_fail,../../etc/passwd,pilot-listing,INVALID_PARAMS_FALLBACK_GENERIC,INVALID_PARAMS_FALLBACK_GENERIC,(none),(none),PASS,Path traversal attempt
T-CR-08_unknown_ref_with_valid_listing,pilot-001-NJ-morristown-medical-center,totally-bogus,VALID_LISTING_CONTEXT_default_ref,VALID_LISTING_CONTEXT,Morristown Medical Center / Morristown NJ,listing_id+ref(pilot-listing default)+...+warning UNKNOWN_REF_DEFAULTED_TO_PILOT_LISTING,PASS,Resolver defaults ref to pilot-listing
T-CR-09_pilot_feedback_no_listing,(empty),pilot-feedback,GENERIC_FEEDBACK_NO_LISTING,GENERIC_FEEDBACK_NO_LISTING,(none — generic form),(none — generic form mode),PASS,Footer feedback ref
T-CR-10_no_params,(empty),(empty),GENERIC_FEEDBACK_NO_LISTING,GENERIC_FEEDBACK_NO_LISTING,(none),(none),PASS,Generic /contact entry — no warning
T-CR-11_oversized_listing_id,pilot-013-FL-xxxxxxxxxxxxxxx...500_chars,pilot-listing,INVALID_PARAMS_FALLBACK_GENERIC,INVALID_PARAMS_FALLBACK_GENERIC,(none),(none),PASS,Length cap > MAX_LISTING_ID_LEN (96)
T-CR-12_html_injection_listing_id,<script>alert(1)</script>,pilot-listing,INVALID_PARAMS_FALLBACK_GENERIC,INVALID_PARAMS_FALLBACK_GENERIC,(none),(none),PASS,HTML / JS injection attempt rejected by SAFE_TOKEN_REGEX
T-CR-13_html_injection_page_path,pilot-001-NJ-morristown-medical-center,pilot-listing,VALID_LISTING_CONTEXT_no_page_path,VALID_LISTING_CONTEXT,Morristown Medical Center / Morristown NJ,listing_id+ref+runtime_set(active)+evidence_join_key+honeypot (page_path stripped),PASS,page_path injection rejected; resolver still resolves valid listing
T-CR-14_page_path_no_leading_slash,pilot-001-NJ-morristown-medical-center,pilot-listing,VALID_LISTING_CONTEXT_no_page_path,VALID_LISTING_CONTEXT,Morristown Medical Center / Morristown NJ,listing_id+ref+runtime_set(active)+evidence_join_key+honeypot (page_path stripped),PASS,Bad page_path stripped
T-CR-15_forbidden_field_passport_in_query,(passport_number=…),pilot-listing,GENERIC_FEEDBACK_NO_LISTING,GENERIC_FEEDBACK_NO_LISTING,(none),(none),PASS,Resolver only reads 5 reserved keys; passport_number is silently dropped at resolver level
T-CR-16_visible_context_does_not_leak_evidence_path,pilot-001-NJ-morristown-medical-center+evidence_join_key=…,pilot-listing,VALID_LISTING_CONTEXT,VALID_LISTING_CONTEXT,Morristown Medical Center / Morristown NJ — no evidence path,(stored as evidence_join_key hidden field only),PASS,Validator deep-scans displayInstitutionName + displayCityState for evidence-path strings
