source_row_id,institution_name,city,state,source_file,prior_review_status,sourceProofScore,yield_tier,yield_class,accepts_lcme,accepts_intl,accepts_carib,accepts_img,audience_exclusion_evidence,application_method,duration,cost,visa_language,source_url,archive_url,screenshot_path,evidence_status,prior_notes,raw_source_row_reference
promo3-01-CT-yale-new-haven-hospital,Yale New Haven Hospital,New Haven,CT,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NOT_MENTIONED,PARTIAL,NOT_MENTIONED,,AAMC_VSLO,4_WEEK_BLOCKS,NOT_MENTIONED,NOT_MENTIONED,https://medicine.yale.edu/md-program/visiting-students/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"Yale New Haven Hospital — primary teaching site for Yale SoM. Source-proven public VSLO visiting-MS pathway with 4-week electives/Sub-Internships, max 3 rotations. Audience verbatim: U.S. LCME and COCA-AACOM (DO) schools. International students (non-LCME, non-COCA-AACOM) referenced as separate proce",T7 source_capture rank=1 subqueue= sourceQueue=Q1
promo3-02-MN-mayo-clinic-hospital--saint-marys-campus,Mayo Clinic Hospital - Saint Marys Campus,Olmsted,MN,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,YES,YES,YES,,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,Mayo Rochester — source-proven VSLO + international (USMLE Step 1 gated). Audience: US LCME + COCA-AACOM (DO) + Canadian + IMG with USMLE Step 1; final year MS. 1 location + max 4 apps. Mayo system pathway covers Rochester + Phoenix + Jacksonville. yieldClass=HIGH_USCE_YIELD; visibilityLane=INTERNAL,T7 source_capture rank=2 subqueue= sourceQueue=Q1
promo3-03-OH-cleveland-clinic-main-campus,Cleveland Clinic Main Campus,Cuyahoga,OH,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,PARTIAL,PARTIAL,PARTIAL,Those on a B1/B2 Visa are not eligible for meals.,AAMC_VSLO_VIA_AFFILIATE,4_WEEK_BLOCKS,NOT_MENTIONED,NOT_MENTIONED,https://my.clevelandclinic.org/departments/elective-program,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,HIGH_USCE_YIELD: Cleveland Clinic Main Campus operates a centralized Elective Program (NOT primarily VSLO; some departments use VSLO) with $200 domestic / $400 international application processing fee per elective; max 2 electives. International students apply via international pathway based on home,T7 source_capture rank=3 subqueue= sourceQueue=Q1
promo3-04-NY-newyork-presbyterian-hospital--columbia-university-medical-c,NewYork-Presbyterian Hospital - Columbia University Medical Center,New York,NY,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,YES,YES,YES,,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://www.vagelos.columbia.edu/education/academic-programs/md-program/visiting-student-program,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,Columbia VP&S — source-proven dual-pathway visiting-MS: domestic VSLO + international OASIS (Ben Gurion/Sackler exception via VSLO). 4-6 core clerkships prerequisite. Coordinator: psvisitingstudents@cumc.columbia.edu. yieldClass=HIGH_USCE_YIELD; visibilityLane=INTERNAL_REVIEW. Record-and-continue.,T7 source_capture rank=4 subqueue= sourceQueue=Q1
promo3-05-NY-newyork-presbyterian-hospital--weill-cornell-medical-center,NewYork-Presbyterian Hospital - Weill Cornell Medical Center,New York,NY,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,YES,YES,YES,,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://international.weill.cornell.edu/visiting-international-students,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,Weill Cornell Office of International Medical Student Education — source-proven 4-8 week VSLO electives for final-year international students at approved medical schools. Coordinator: globalhealthelectives@med.cornell.edu. yieldClass=HIGH_USCE_YIELD; visibilityLane=INTERNAL_REVIEW.,T7 source_capture rank=5 subqueue= sourceQueue=Q1
promo3-06-FL-jackson-memorial-hospital,Jackson Memorial Hospital,Miami-Dade,FL,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NO,NO,NO,Students of international medical schools are not accepted for clinical externships,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://med.miami.edu/medical-education/visiting-students,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,Jackson Memorial / UM Miller — source-proven VSLO max 12 weeks; **STRONG NEGATIVE EVIDENCE: IMG explicitly EXCLUDED** verbatim. Domestic LCME/COCA-AACOM only. Coordinator: Nancy Cuevas. yieldClass=HIGH_USCE_YIELD for US LCME/DO; **excluded for IMG audience**. visibilityLane=INTERNAL_REVIEW.,T7 source_capture rank=6 subqueue= sourceQueue=Q1
promo3-07-MD-johns-hopkins-hospital,Johns Hopkins Hospital,Baltimore_City,MD,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,PARTIAL,PARTIAL,PARTIAL,"for clinical electives, currently NOT accepting students enrolled at international institutions with whom they do not have approved agreements.",VARIES_BY_DEPARTMENT,VARIES,750_USD_RESEARCH_FALL_2026,NOT_MENTIONED,https://www.hopkinsmedicine.org/som/offices/registrars/visiting-md,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"HIGH_USCE_YIELD: Johns Hopkins Hospital via JHUSOM Visiting Medical Student Program. Slate portal (NOT VSLO). Final-year only. LCME/COCA + non-LCME/COCA via formal affiliation only. STRONG NEG non-affiliated international students for clinical electives. Tiered fees: $500 LCME/COCA / $5,500 non-LCME",T7 source_capture rank=7 subqueue= sourceQueue=Q1
promo3-08-NY-mount-sinai-hospital,Mount Sinai Hospital,New York,NY,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NO,NO,NO,,AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,Mount Sinai Icahn — source-proven 4-week VSLO electives at Mount Sinai Health System + teaching affiliates. Audience: LCME US/Canada/Puerto Rico (verbatim). VEPSUM US-accredited final-year MS. **IMG explicitly outside main VSLO scope.** Coordinator: visiting-students@mssm.edu. yieldClass=HIGH_USCE_Y,T7 source_capture rank=8 subqueue= sourceQueue=Q1
promo3-09-NC-duke-university-hospital,Duke University Hospital,Durham,NC,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NO,NO,NO,"unable to accept visiting medical student applications for the foreseeable future from students enrolled at international institutions with whom we do have approved agreements, other than those listed above",AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://medschool.duke.edu/education/health-professions-education-programs/student-services/office-registrar/visiting-students,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,"Duke SoM — VSLO for US/PR LCME + COCA-AACOM (DO). **Strong negative-evidence: general IMG NOT accepted; 5-school whitelist only (Duke NUS, NTU Taiwan, Heidelberg, Nagoya, AU Beirut)**. Feb-Apr application window. yieldClass=HIGH for US/DO; NO for general IMG.",T7 source_capture rank=9 subqueue= sourceQueue=Q1
promo3-10-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,Cook,IL,T7 high_yield_review_master.csv + source_capture_priority_queue.csv,READY_FOR_HUMAN_APPROVAL,5,TIER_1,HIGH_USCE_YIELD,YES,NO,NO,NO,"Electives are available only to students currently enrolled at an LCME-accredited medical school or AOA-accredited Osteopathic medical school located in the United States or Puerto Rico, with an exception for Global Partner institutions",AAMC_VSLO,VARIES,NOT_MENTIONED,NOT_MENTIONED,https://www.feinberg.northwestern.edu/md-education/visiting-students/index.html,(deferred to evidence-hardening sprint),(deferred to evidence-hardening sprint),T7_TIER_A_VERIFIED_MAC_LOCAL_PENDING,Northwestern Feinberg — VSLO for LCME US/PR + AOA US/PR + Global Partner whitelist (international). General IMG NOT accepted (verbatim). Stipend program via McGaw. yieldClass=HIGH for US LCME/DO + Global Partner; NO for general IMG.,T7 source_capture rank=10 subqueue= sourceQueue=Q1
