row_id,institution_name,source_url,png_path,png_capture_type,capture_status,key_text_visible,failure_reason,notes
promo3-06-FL-jackson-memorial-hospital,Jackson Memorial Hospital,https://med.miami.edu/medical-education/visiting-students,screenshots/jackson-memorial-source.png,LOCAL_HTML_RENDER,PNG_LANDED,UM Miller SOM visiting-students page text including Visiting Medical Students sections,n/a,365 KB at 1440x3000
promo3-09-NC-duke-university-hospital,Duke University Hospital,https://medschool.duke.edu/education/health-professions-education-programs/student-services/office-registrar/visiting-students,screenshots/duke-source.png,LOCAL_HTML_RENDER,PNG_LANDED,LCME/COCA accreditation language and VSLO application path visible,n/a,627 KB at 1440x3000
promo3-10-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,https://www.feinberg.northwestern.edu/md-education/visiting-students/index.html,screenshots/northwestern-source.png,LOCAL_HTML_RENDER,PNG_LANDED,Feinberg SOM Visiting Students content,n/a,509 KB at 1440x2400
promo3-11-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,https://www.med.upenn.edu/student/application-and-dates.html,screenshots/penn-source.png,LOCAL_HTML_RENDER,PNG_LANDED,Perelman SOM application page,n/a,429 KB at 1440x2400
promo3-12-NY-nyu-langone-health-tisch-hospital,NYU Langone Health - Tisch Hospital,https://med.nyu.edu/education/md-degree/registration-student-records/information-visiting-md-students,screenshots/nyu-langone-source.png,LOCAL_HTML_RENDER,PNG_LANDED,NYU Grossman SOM Visiting MD Students content,n/a,866 KB at 1440x5000
promo3-17-TX-methodist-hospital-san-antonio,Methodist Hospital (San Antonio),https://hcahealthcaregme.com/locations/methodist-hospital/,screenshots/methodist-tx-source.png,LOCAL_HTML_RENDER,PNG_LANDED,HCA Healthcare GME Methodist Hospital location page,n/a,925 KB at 1440x5000
promo3-25-IN-indiana-university-health-methodist-hospital,Indiana University Health Methodist Hospital,https://medicine.iu.edu/md/admissions/guest-students,screenshots/iu-methodist-source.png,LOCAL_HTML_RENDER,PNG_LANDED,IU SOM Guest Students content,n/a,343 KB at 1440x3000
promo3-08-NY-mount-sinai-hospital,Mount Sinai Hospital,https://icahn.mssm.edu/education/students/registrar/electives/visiting-lcme-schools,screenshots/mount-sinai-source.png,WAYBACK_ARCHIVE_PAGE,PNG_LANDED,Icahn SOM Visiting Students page rendered from prior 2026-02-11 Wayback snapshot — URL slug 'visiting-lcme-schools' is itself a strong LCME-only signal,Live page bot-defense (HTTP 403); Wayback used,404 KB at 1440x3000
promo3-02-MN-mayo-clinic-hospital-saint-marys,Mayo Clinic Hospital - Saint Marys Campus,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,screenshots/mayo-saint-marys-source.png,WAYBACK_ARCHIVE_PAGE,PNG_LANDED,Mayo Clinic College of Medicine Visiting Medical Student Clerkships page including international applicants section,Live page bot-defense (HTTP 403); Wayback used,2.5 MB at 1440x5000
promo3-04-NY-nyp-columbia,NewYork-Presbyterian Hospital - Columbia University Medical Center,https://www.vagelos.columbia.edu/education/academic-programs/md-program/visiting-student-program,screenshots/nyp-columbia-source.png,LOCAL_HTML_RENDER,PNG_LANDED,Vagelos Visiting Student Program with International Visiting Students sub-section,n/a,638 KB at 1440x5000
promo3-05-NY-nyp-weill-cornell,NewYork-Presbyterian Hospital - Weill Cornell Medical Center,https://international.weill.cornell.edu/visiting-international-students,screenshots/nyp-cornell-source.png,LOCAL_HTML_RENDER,PNG_LANDED,Office of International Medical Student Education page,n/a,972 KB at 1440x3000
promo3-14-AZ-mayo-clinic-hospital-phoenix,Mayo Clinic Hospital - Phoenix,https://college.mayo.edu/academics/visiting-medical-student-clerkships/,screenshots/mayo-phoenix-source.png,WAYBACK_ARCHIVE_PAGE,PNG_LANDED,Same Mayo Clinic College page as Saint Marys (shared system URL),Live page bot-defense (HTTP 403); Wayback used,2.5 MB at 1440x5000
promo3-19-FL-hca-florida-aventura-hospital,HCA Florida Aventura Hospital,https://hcahealthcaregme.com/locations/hca-florida-aventura-hospital/,screenshots/hca-aventura-source.png,LOCAL_HTML_RENDER,PNG_LANDED,HCA East Florida GME consortium page; residency/fellowship/GME-focused content,n/a,924 KB at 1440x5000 — note page is residency/fellowship-focused (possible Class D wrong-lane misclassification)
