row_id,institution_name,quote_file_path,claim_supported,audience_supported,application_supported,cost_supported,visa_supported,site_scope_supported,notes
promo3-06-FL-jackson-memorial-hospital,Jackson Memorial Hospital,quotes/jackson-memorial-quote.txt,US-LCME-AOA-only via UM Miller SOM,YES,YES,NOT_STATED,NOT_STATED,SYSTEM_LEVEL_UM_MILLER_NOT_JACKSON_SPECIFIC,3 excerpts capture LCME/AOA accreditation language
promo3-09-NC-duke-university-hospital,Duke University Hospital,quotes/duke-quote.txt,US/PR LCME/COCA only via VSLO,YES,YES,NOT_STATED,NOT_STATED,SITE_LEVEL_DUKE,4 excerpts confirm 'enrolled at US or Puerto Rico LCME accredited or COCA accredited Osteopathic institutions'
promo3-10-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,quotes/northwestern-quote.txt,Feinberg LCME/AOA-accredited US schools,YES,YES,NOT_STATED,NOT_STATED,SYSTEM_LEVEL_FEINBERG_NOT_NMH_SPECIFIC,4 excerpts
promo3-11-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,quotes/penn-quote.txt,Perelman SOM application path,YES,YES,NOT_STATED,NOT_STATED,SYSTEM_LEVEL_PERELMAN_NOT_HUP_SPECIFIC,3 excerpts
promo3-12-NY-nyu-langone-health-tisch-hospital,NYU Langone Health - Tisch Hospital,quotes/nyu-langone-quote.txt,NYU Grossman SOM Visiting MD Students,YES,YES,NOT_STATED,NOT_STATED,SITE_LEVEL_TISCH_UNDER_NYU_LANGONE,3 excerpts
promo3-17-TX-methodist-hospital-san-antonio,Methodist Hospital (San Antonio),quotes/methodist-tx-quote.txt,HCA Healthcare GME location page,PARTIAL,PARTIAL,NOT_STATED,NOT_STATED,SYSTEM_LEVEL_HCA_GME,2 excerpts; less detail than ideal but adequate for SYSTEM_LEVEL caveat
promo3-25-IN-indiana-university-health-methodist-hospital,Indiana University Health Methodist Hospital,quotes/iu-methodist-quote.txt,IU SOM Guest Students,YES,YES,NOT_STATED,NOT_STATED,SITE_LEVEL_IU_METHODIST,3 excerpts
promo3-08-NY-mount-sinai-hospital,Mount Sinai Hospital,quotes/mount-sinai-quote.txt,Icahn SOM Visiting Students from LCME-accredited US schools,YES,YES,NOT_STATED,NOT_STATED,SYSTEM_LEVEL_ICAHN,URL slug 'visiting-lcme-schools' itself is a strong audience signal; 3 excerpts confirm LCME-only
promo3-02-MN-mayo-clinic-hospital-saint-marys,Mayo Clinic Hospital - Saint Marys Campus,quotes/mayo-saint-marys-quote.txt,Mayo Clinic College of Medicine VMSC including international applicants section,PARTIAL_BROAD_INTL_NEEDS_CURATOR,PARTIAL,PARTIAL,NOT_STATED,SYSTEM_LEVEL_MAYO_NOT_SITE_SPECIFIC,2 excerpts confirm international applicants section exists; per-site mapping unclear (one URL for 3 Mayo sites)
promo3-04-NY-nyp-columbia,NewYork-Presbyterian Hospital - Columbia University Medical Center,quotes/nyp-columbia-quote.txt,Vagelos Visiting Student Program with International Visiting Students sub-section,PARTIAL_NEEDS_FEE_AND_VISA_QUOTE,PARTIAL,PARTIAL,NOT_STATED,SITE_LEVEL_VAGELOS_NOT_NYP_HOSPITAL,4 excerpts; 'International Visiting Students' + 'Visiting Student Fees' sections exist on page
promo3-05-NY-nyp-weill-cornell,NewYork-Presbyterian Hospital - Weill Cornell Medical Center,quotes/nyp-cornell-quote.txt,Office of International Medical Student Education,STRONG_INTL_SIGNAL,PARTIAL,NOT_STATED,NOT_STATED,SITE_LEVEL_WEILL_CORNELL_INTL_OFFICE,Page is dedicated to international visiting students; eligibility/visa specifics need quote-level capture in next sprint
promo3-14-AZ-mayo-clinic-hospital-phoenix,Mayo Clinic Hospital - Phoenix,quotes/mayo-phoenix-quote.txt,Same Mayo source as Saint Marys,PARTIAL_BROAD_INTL_NEEDS_CURATOR,PARTIAL,PARTIAL,NOT_STATED,SYSTEM_LEVEL_MAYO,Per-site mapping issue
promo3-19-FL-hca-florida-aventura-hospital,HCA Florida Aventura Hospital,quotes/hca-aventura-quote.txt,HCA East Florida GME consortium with 10 GME hospitals + 45 residency/fellowship programs,RESIDENCY_FELLOWSHIP_FOCUS_NOT_VISITING_MS,LOW,NOT_STATED,NOT_STATED,SYSTEM_LEVEL_HCA_EAST_FL_GME,**Page focus is residency/fellowship/GME — Class D wrong-lane misclassification at screening time; reclassify recommended**
