input_rank,institution_name,city,state,prior_outcome,prior_stop_condition,why_included,manual_strategy,expected_best_case,notes
13,Vanderbilt University Medical Center,Nashville,TN,BRIDGE_READY_CANDIDATE,,already_bridge_ready_needs_PNG_quote,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
6,Oregon Health and Science University Hospital,Portland,OR,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
7,University of Utah Hospital,Salt Lake City,UT,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
8,UCHealth University of Colorado Hospital,Aurora,CO,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
10,UCSF Medical Center,San Francisco,CA,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
11,UCLA Ronald Reagan Medical Center,Los Angeles,CA,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
12,Stanford Health Care,Stanford,CA,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
14,Barnes-Jewish Hospital / Washington University,Saint Louis,MO,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
16,Brigham and Womens Hospital,Boston,MA,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
17,Massachusetts General Hospital,Boston,MA,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
18,Memorial Sloan Kettering Cancer Center,New York,NY,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
19,University of Florida Health Shands Hospital,Gainesville,FL,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
20,Houston Methodist Hospital,Houston,TX,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
21,UT Southwestern University Hospital - Clements Hospital,Dallas,TX,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
23,LAC+USC Medical Center,Los Angeles,CA,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
24,Parkland Health,Dallas,TX,URL_PATTERN_MISS,,recovered_url_pattern_miss,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
4,Billings Clinic,Billings,MT,BLOCKED,,wayback_retry_for_bot_defended,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
15,Michigan Medicine - University Hospital,Ann Arbor,MI,BLOCKED,,wayback_retry_for_bot_defended,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
22,Bellevue Hospital - NYC H+H,New York,NY,BLOCKED,,wayback_retry_for_bot_defended,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
25,Harborview Medical Center,Seattle,WA,BLOCKED,,wayback_retry_for_bot_defended,navigate_landing_then_anchors_then_wayback,evidence_triple_partial_or_complete,
