input_rank,institution_name,city,state,prior_outcome,best_official_source_url,navigation_attempts,wayback_used,source_scope,opportunity_type,audience,evidence_strength,outcome,html_snapshot_path,source_quote_short,notes
13,Vanderbilt University Medical Center,Nashville,TN,BRIDGE_READY_CANDIDATE,https://medschool.vanderbilt.edu/md/visiting-students/,https://medschool.vanderbilt.edu/student-affairs/visiting-students -> 200,false,SCHOOL_LEVEL,VISITING_MEDICAL_STUDENT_ELECTIVE,INTERNATIONAL_ACCEPTED_EXPLICIT,TIER_B,LIKELY_CANDIDATE_NEEDS_EVIDENCE_HARDENING,docs/platform-v2/local/usce-completeness/queue-4-session-1-evidence-hardening/html-snapshots/vanderbilt-university-medical-center.html,s Undergraduate Research Graduate School Research VUMC Research Campus Life Housing & Dining Organizations & Identity Centers Athletics Our Hometown - Nashville News & Events Vanderbilt News Research News Vanderbilt Magazine Events Alumni Students Giving VUMC Visiting Medical Stu,
6,Oregon Health and Science University Hospital,Portland,OR,URL_PATTERN_MISS,,https://www.ohsu.edu/school-of-medicine/visiting-medical-students-program -> 404 | https://www.ohsu.edu/school-of-medicine/registrar -> 404 | https://www.ohsu.edu/school-of-medicine/students -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
7,University of Utah Hospital,Salt Lake City,UT,URL_PATTERN_MISS,https://medicine.utah.edu/programs/md,https://medicine.utah.edu/students/programs/md/visiting-medical-students -> 404 | https://medicine.utah.edu/students/programs/md -> 200,false,SCHOOL_LEVEL,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,docs/platform-v2/local/usce-completeness/queue-4-session-1-evidence-hardening/html-snapshots/university-of-utah-hospital.html,,
8,UCHealth University of Colorado Hospital,Aurora,CO,URL_PATTERN_MISS,,https://medschool.cuanschutz.edu/student-affairs/programs/visiting-students -> 404 | https://medschool.cuanschutz.edu/student-affairs -> 404 | https://medschool.cuanschutz.edu/student-affairs/programs -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
10,UCSF Medical Center,San Francisco,CA,URL_PATTERN_MISS,https://meded.ucsf.edu,https://meded.ucsf.edu/visiting-medical-students -> 404 | https://meded.ucsf.edu -> 200,false,SCHOOL_LEVEL,CLINICAL_ELECTIVE,US_MD_DO_ONLY,TIER_B,LIKELY_CANDIDATE_NEEDS_EVIDENCE_HARDENING,docs/platform-v2/local/usce-completeness/queue-4-session-1-evidence-hardening/html-snapshots/ucsf-medical-center.html,,
11,UCLA Ronald Reagan Medical Center,Los Angeles,CA,URL_PATTERN_MISS,,https://medschool.ucla.edu/education-and-training/medical-school-md/student-affairs -> 404 | https://medschool.ucla.edu/education-and-training -> 404 | https://medschool.ucla.edu/student-affairs/visiting-medical-students -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
12,Stanford Health Care,Stanford,CA,URL_PATTERN_MISS,,https://med.stanford.edu/md/student-affairs/visiting-students.html -> 404 | https://med.stanford.edu/md/student-affairs -> 404 | https://med.stanford.edu/md/visiting-medical-students -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
14,Barnes-Jewish Hospital / Washington University,Saint Louis,MO,URL_PATTERN_MISS,,https://medicine.wustl.edu/education/medical-school/visiting-students -> 404 | https://medicine.wustl.edu/education/medical-school -> 404 | https://medicine.wustl.edu/education -> 200,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
16,Brigham and Womens Hospital,Boston,MA,URL_PATTERN_MISS,https://hms.harvard.edu/education-admissions/md-program,https://meded.hms.harvard.edu/visiting-medical-students -> 200,false,SITE_LEVEL,UNKNOWN,US_MD_DO_ONLY,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,docs/platform-v2/local/usce-completeness/queue-4-session-1-evidence-hardening/html-snapshots/brigham-and-womens-hospital.html,,
17,Massachusetts General Hospital,Boston,MA,URL_PATTERN_MISS,https://hms.harvard.edu/education-admissions/md-program,https://meded.hms.harvard.edu/visiting-medical-students -> 200,false,SITE_LEVEL,UNKNOWN,US_MD_DO_ONLY,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,docs/platform-v2/local/usce-completeness/queue-4-session-1-evidence-hardening/html-snapshots/massachusetts-general-hospital.html,,
18,Memorial Sloan Kettering Cancer Center,New York,NY,URL_PATTERN_MISS,,https://www.mskcc.org/education/medical-students/visiting-medical-student-program -> 404 | https://www.mskcc.org/education/medical-students -> 404 | https://www.mskcc.org/education/medical-students/visiting -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
19,University of Florida Health Shands Hospital,Gainesville,FL,URL_PATTERN_MISS,,https://com-registrar.med.ufl.edu/visiting-medical-students/ -> -1 | https://com-registrar.med.ufl.edu/ -> -1 | https://med.ufl.edu/students/registrar/visiting-medical-students/ -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
20,Houston Methodist Hospital,Houston,TX,URL_PATTERN_MISS,,https://www.houstonmethodist.org/education/medical-students-and-residents/ -> 404 | https://www.houstonmethodist.org/education/ -> 200 | https://www.houstonmethodist.org/education/medical-students/ -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
21,UT Southwestern University Hospital - Clements Hospital,Dallas,TX,URL_PATTERN_MISS,https://medschool.utsouthwestern.edu/,https://www.utsouthwestern.edu/education/medical-school/about-us/registrar/visiting-students/ -> 404 | https://www.utsouthwestern.edu/education/medical-school/about-us/registrar/ -> 404 | https://www.utsouthwestern.edu/education/medical-school/ -> 200,false,SCHOOL_LEVEL,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,docs/platform-v2/local/usce-completeness/queue-4-session-1-evidence-hardening/html-snapshots/ut-southwestern-university-hospital-clements-hospital.html,,
23,LAC+USC Medical Center,Los Angeles,CA,URL_PATTERN_MISS,,https://keck.usc.edu/medical-education/student-affairs/visiting-students/ -> 404 | https://keck.usc.edu/medical-education/student-affairs/ -> 404 | https://keck.usc.edu/medical-education/ -> 200,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
24,Parkland Health,Dallas,TX,URL_PATTERN_MISS,,https://www.utsouthwestern.edu/education/medical-school/about-us/registrar/visiting-students/ -> 404 | https://www.utsouthwestern.edu/education/medical-school/about-us/registrar/ -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
4,Billings Clinic,Billings,MT,BLOCKED,,https://www.billingsclinic.com/medical-education/ -> 403 | https://www.billingsclinic.com/medical-education -> 403,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
15,Michigan Medicine - University Hospital,Ann Arbor,MI,BLOCKED,,https://medicine.umich.edu/medschool/education/md-program/visiting-medical-students -> 403 | https://medicine.umich.edu/medschool/education/visiting-medical-students -> 403,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
22,Bellevue Hospital - NYC H+H,New York,NY,BLOCKED,,https://www.nychealthandhospitals.org/mosaic/visiting-scholars-program/ -> 200 | https://www.nychealthandhospitals.org/bellevue/medical-education/ -> 200,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
25,Harborview Medical Center,Seattle,WA,BLOCKED,,https://www.uwmedicine.org/education/md/visiting-medical-students -> 403 | https://education.uwmedicine.org/visiting-medical-students -> 404,false,,UNKNOWN,UNCLEAR,INSUFFICIENT,NO_RELEVANT_PUBLIC_SOURCE_FOUND,,,
