institution_name,prior_outcome,new_outcome,reason,source_url,source_quote_short,notes
Oregon Health and Science University Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://www.ohsu.edu/school-of-medicine/visiting-medical-students-program,,
University of Utah Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,page_reachable_but_no_visiting_keyword,https://medicine.utah.edu/programs/md,,
UCHealth University of Colorado Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://medschool.cuanschutz.edu/student-affairs/programs/visiting-students,,
UCLA Ronald Reagan Medical Center,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://medschool.ucla.edu/education-and-training/medical-school-md/student-affairs,,
Stanford Health Care,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://med.stanford.edu/md/student-affairs/visiting-students.html,,
Barnes-Jewish Hospital / Washington University,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://medicine.wustl.edu/education/medical-school/visiting-students,,
Brigham and Womens Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,page_reachable_but_no_visiting_keyword,https://hms.harvard.edu/education-admissions/md-program,,
Massachusetts General Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,page_reachable_but_no_visiting_keyword,https://hms.harvard.edu/education-admissions/md-program,,
Memorial Sloan Kettering Cancer Center,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://www.mskcc.org/education/medical-students/visiting-medical-student-program,,
University of Florida Health Shands Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://com-registrar.med.ufl.edu/visiting-medical-students/,,
Houston Methodist Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://www.houstonmethodist.org/education/medical-students-and-residents/,,
UT Southwestern University Hospital - Clements Hospital,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,page_reachable_but_no_visiting_keyword,https://medschool.utsouthwestern.edu/,,
LAC+USC Medical Center,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://keck.usc.edu/medical-education/student-affairs/visiting-students/,,
Parkland Health,URL_PATTERN_MISS,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://www.utsouthwestern.edu/education/medical-school/about-us/registrar/visiting-students/,,
Billings Clinic,BLOCKED,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://www.billingsclinic.com/medical-education/,,
Michigan Medicine - University Hospital,BLOCKED,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://medicine.umich.edu/medschool/education/md-program/visiting-medical-students,,
Bellevue Hospital - NYC H+H,BLOCKED,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://www.nychealthandhospitals.org/mosaic/visiting-scholars-program/,,
Harborview Medical Center,BLOCKED,NO_RELEVANT_PUBLIC_SOURCE_FOUND,all_navigation_attempts_failed,https://www.uwmedicine.org/education/md/visiting-medical-students,,
