institution_name,reason,source_url,source_quote_short,notes
Providence Alaska Medical Center,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Alaska Native Medical Center,URL_PATTERN_MISS_OR_HOMEPAGE_ONLY,https://anmc.org/,,auto-fetch first pass; manual browser pass required
Saint Alphonsus Regional Medical Center,URL_PATTERN_MISS_OR_HOMEPAGE_ONLY,https://www.saintalphonsus.org/,,auto-fetch first pass; manual browser pass required
Wyoming Medical Center,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Oregon Health and Science University Hospital,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
University of Utah Hospital,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
UCHealth University of Colorado Hospital,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Denver Health Medical Center,URL_PATTERN_MISS_OR_HOMEPAGE_ONLY,https://denverhealth.org/,,auto-fetch first pass; manual browser pass required
UCSF Medical Center,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
UCLA Ronald Reagan Medical Center,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Stanford Health Care,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Barnes-Jewish Hospital / Washington University,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Brigham and Womens Hospital,URL_PATTERN_MISS_OR_HOMEPAGE_ONLY,https://meded.hms.harvard.edu/visiting-students,,auto-fetch first pass; manual browser pass required
Massachusetts General Hospital,URL_PATTERN_MISS_OR_HOMEPAGE_ONLY,https://meded.hms.harvard.edu/visiting-students,,auto-fetch first pass; manual browser pass required
Memorial Sloan Kettering Cancer Center,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
University of Florida Health Shands Hospital,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Houston Methodist Hospital,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
UT Southwestern University Hospital - Clements Hospital,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
LAC+USC Medical Center,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
Parkland Health,AUTO_FETCH_FAILED_NEEDS_MANUAL_PASS,(none),,auto-fetch first pass; manual browser pass required
