institution_name,source_url,source_title,source_role,quote_short,archive_status,screenshot_status,official_source,evidence_strength,notes
Providence Alaska Medical Center,https://www.providence.org/locations/ak/providence-alaska-medical-center,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Alaska Native Medical Center,https://anmc.org/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,TRUE,INSUFFICIENT,
Saint Alphonsus Regional Medical Center,https://www.saintalphonsus.org/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,TRUE,INSUFFICIENT,
Billings Clinic,https://www.billingsclinic.com/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Wyoming Medical Center,https://www.banneruwmedicine.org/locations/casper/banner-wyoming-medical-center,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Oregon Health and Science University Hospital,https://www.ohsu.edu/school-of-medicine/visiting-medical-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
University of Utah Hospital,https://medicine.utah.edu/students/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
UCHealth University of Colorado Hospital,https://medschool.cuanschutz.edu/student-affairs/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Denver Health Medical Center,https://denverhealth.org/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,TRUE,INSUFFICIENT,
UCSF Medical Center,https://meded.ucsf.edu/visiting-medical-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
UCLA Ronald Reagan Medical Center,https://medschool.ucla.edu/education/visiting-medical-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Stanford Health Care,https://med.stanford.edu/md/student-affairs/visiting-student-program.html,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Vanderbilt University Medical Center,https://medschool.vanderbilt.edu/student-affairs/visiting-students,,PRIMARY_OFFICIAL_PAGE,s Undergraduate Research Graduate School Research VUMC Research Campus Life Housing & Dining Organizations & Identity Centers Athletics Our Hometown - Nashville News & Events Vanderbilt News Research News Vanderbilt Magazine Events Alumni Students Giving VUMC Visiting Medical Stu,ARCHIVE_PENDING,PNG_PENDING,TRUE,TIER_A,
Barnes-Jewish Hospital / Washington University,https://medicine.wustl.edu/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Michigan Medicine - University Hospital,https://medicine.umich.edu/medschool/education/md-program/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Brigham and Womens Hospital,https://meded.hms.harvard.edu/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,TRUE,INSUFFICIENT,
Massachusetts General Hospital,https://meded.hms.harvard.edu/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,TRUE,INSUFFICIENT,
Memorial Sloan Kettering Cancer Center,https://www.mskcc.org/education/medical-students/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
University of Florida Health Shands Hospital,https://com-registrar.med.ufl.edu/visiting-medical-students/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Houston Methodist Hospital,https://www.houstonmethodist.org/education/medical-students/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
UT Southwestern University Hospital - Clements Hospital,https://www.utsouthwestern.edu/education/medical-school/visiting-students/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Bellevue Hospital - NYC H+H,https://www.nychealthandhospitals.org/bellevue/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
LAC+USC Medical Center,https://keck.usc.edu/education/visiting-students/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Parkland Health,https://www.utsouthwestern.edu/education/medical-school/visiting-students/,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
Harborview Medical Center,https://www.uwmedicine.org/education/md/visiting-students,,PRIMARY_OFFICIAL_PAGE,,ARCHIVE_PENDING,PNG_PENDING,FALSE,INSUFFICIENT,
