institution_name,stop_condition,why_stopped,next_retry_if_any,notes
Providence Alaska Medical Center,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Alaska Native Medical Center,no_visiting_ms_program_documented,NO_RELEVANT_PUBLIC_SOURCE_FOUND,manual_browser_pass,
Saint Alphonsus Regional Medical Center,no_visiting_ms_program_documented,NO_RELEVANT_PUBLIC_SOURCE_FOUND,manual_browser_pass,
Billings Clinic,blocked_or_captcha,BLOCKED_LOGIN_OR_CAPTCHA,no_program_likely,
Wyoming Medical Center,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Oregon Health and Science University Hospital,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
University of Utah Hospital,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
UCHealth University of Colorado Hospital,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Denver Health Medical Center,NO_RELEVANT_PUBLIC_SOURCE_FOUND,NO_RELEVANT_PUBLIC_SOURCE_FOUND,manual_browser_pass,
UCSF Medical Center,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
UCLA Ronald Reagan Medical Center,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Stanford Health Care,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Vanderbilt University Medical Center,evidence_triple_pending_PNG_and_quote_capture,BRIDGE_READY_CANDIDATE,evidence_hardening_session,
Barnes-Jewish Hospital / Washington University,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Michigan Medicine - University Hospital,blocked_or_captcha,BLOCKED_LOGIN_OR_CAPTCHA,no_program_likely,
Brigham and Womens Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,NO_RELEVANT_PUBLIC_SOURCE_FOUND,manual_browser_pass,
Massachusetts General Hospital,NO_RELEVANT_PUBLIC_SOURCE_FOUND,NO_RELEVANT_PUBLIC_SOURCE_FOUND,manual_browser_pass,
Memorial Sloan Kettering Cancer Center,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
University of Florida Health Shands Hospital,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Houston Methodist Hospital,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
UT Southwestern University Hospital - Clements Hospital,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Bellevue Hospital - NYC H+H,blocked_or_captcha,BLOCKED_LOGIN_OR_CAPTCHA,no_program_likely,
LAC+USC Medical Center,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Parkland Health,fetch_failed_no_wayback,NO_RELEVANT_PUBLIC_SOURCE_FOUND,no_program_likely,
Harborview Medical Center,blocked_or_captcha,BLOCKED_LOGIN_OR_CAPTCHA,no_program_likely,
