listing_id,institution_name,operation,source,target,status,notes
pilot-001-NJ-morristown-medical-center,Morristown Medical Center,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved
pilot-002-NJ-overlook-medical-center,Overlook Medical Center,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved
pilot-003-OH-cleveland-clinic-mercy-hospital,Cleveland Clinic Mercy Hospital,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved
pilot-004-OH-cleveland-clinic-hillcrest-hospital,Cleveland Clinic Hillcrest Hospital,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved
pilot-007-CA-highland-hospital-alameda-health-system,Highland Hospital (Alameda Health System),COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved
pilot-014-NC-duke-university-hospital,Duke University Hospital,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved (slice-1)
pilot-017-NY-nyu-langone-tisch-hospital,NYU Langone Health - Tisch Hospital,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved (slice-1)
pilot-019-IN-iu-health-methodist-hospital,Indiana University Health Methodist Hospital,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved (slice-1)
pilot-016-PA-hospital-of-the-university-of-pennsylvania,Hospital of the University of Pennsylvania,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved (slice-2)
pilot-015-IL-northwestern-memorial-hospital,Northwestern Memorial Hospital,COPIED_VERBATIM,active runtime,staged batch 4,UNCHANGED,Active preserved (slice-2)
pilot-020-TN-vanderbilt-university-medical-center,Vanderbilt University Medical Center,ADDED_STAGED_ONLY,bridge_validation,staged batch 4,NEW,New row from queue-4 bridge validation
pilot-021-CA-ucsf-medical-center,UCSF Medical Center,ADDED_STAGED_ONLY,bridge_validation,staged batch 4,NEW,New row from queue-4 bridge validation
