listing_id,institution_name,source_url,archive_url,screenshot_path,html_snapshot_path,quote_file_path,evidence_status,source_scope,caveat_summary,review_status,next_reviewer_action,notes
pilot-001-NJ-morristown-medical-center,Morristown Medical Center,https://ahs.atlantichealth.org/professionals-medical-education/medical-students.html,(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),APPROVED_FOR_BRIDGE_INPUT_PER_T7_QUEUE,SPECIALTY_PAGE,Named-school MS3 list only; MS4 space-permitting; Housing not provided; SGU named partner only,APPROVED_AND_ACTIVE,n/a (already serving on /clerkships/pilot),T7 lane carries the canonical evidence queue for active rows. Mac-local does not have screenshot/archive paths for the active 5 — they were promoted before this lane separation.
pilot-002-NJ-overlook-medical-center,Overlook Medical Center,https://ahs.atlantichealth.org/professionals-medical-education/medical-students.html,(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),APPROVED_FOR_BRIDGE_INPUT_PER_T7_QUEUE,SPECIALTY_PAGE,Sibling under shared Atlantic Health page; same caveat set as Morristown,APPROVED_AND_ACTIVE,n/a,Sibling source — joint review with Morristown.
pilot-003-OH-cleveland-clinic-mercy-hospital,Cleveland Clinic Mercy Hospital,https://my.clevelandclinic.org/departments/elective-program/requirements,(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),APPROVED_FOR_BRIDGE_INPUT_PER_T7_QUEUE,POLICY_HUB,LCME/AOA only; B-1 visa applicant-obtained (NOT CCF-sponsored); $200/$400 fee; max two applications,APPROVED_AND_ACTIVE,n/a,
pilot-004-OH-cleveland-clinic-hillcrest-hospital,Cleveland Clinic Hillcrest Hospital,https://my.clevelandclinic.org/departments/elective-program/requirements,(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),APPROVED_FOR_BRIDGE_INPUT_PER_T7_QUEUE,POLICY_HUB,Same as Mercy + system-page caveat (Hillcrest-specific availability not separately enumerated),APPROVED_AND_ACTIVE,n/a,
pilot-007-CA-highland-hospital-alameda-health-system,Highland Hospital (Alameda Health System),https://www.highlandmedicine.org/visiting-elective-scholarship,(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),(see T7 lane curator queue),APPROVED_FOR_BRIDGE_INPUT_PER_T7_QUEUE,SPECIALTY_PAGE,Diversity scholarship URM 4th-year only; good academic standing required; scholarship-only-not-general-aid framing,APPROVED_AND_ACTIVE,n/a,
pilot-011-PA-upmc-western-psychiatric-hospital,UPMC Western Psychiatric Hospital,https://www.medstudentaffairs.pitt.edu/visiting-students,https://web.archive.org/web/20260509181911/https://www.medstudentaffairs.pitt.edu/visiting-students,docs/platform-v2/local/usce-completeness/manual-png-landing-1/screenshots/pilot-011-upmc-parent-source.png,docs/platform-v2/local/usce-completeness/batch-3-evidence-landing-and-queue-reconciliation-1/screenshots/upmc-pitt-visiting-students-parent.html,(quote in DRAFT source_quote_under_280),TIER_A_PLUS_COMPLETE_BUT_STAGED,SYSTEM_LEVEL_PARENT_PAGE,System-level UPSOM/UPMC source — Western Psychiatric site placement not separately enumerated; parent page,STAGED_NOT_PUBLIC,Curator decision on Caribbean eligibility for international program OR keep internal,Tier-A+ Mac-local; bridge DRAFT VALIDATED.
pilot-011-PA-upmc-western-psychiatric-hospital,UPMC Western Psychiatric Hospital,https://www.medstudentaffairs.pitt.edu/visiting-students/domestic-visiting-students,https://web.archive.org/web/20260509182106/https://www.medstudentaffairs.pitt.edu/visiting-students/domestic-visiting-students,docs/platform-v2/local/usce-completeness/manual-png-landing-1/screenshots/pilot-011-upmc-domestic-source.png,docs/platform-v2/local/usce-completeness/batch-3-evidence-landing-and-queue-reconciliation-1/screenshots/upmc-pitt-domestic-visiting-students.html,(quote in DRAFT source_quote_under_280),TIER_A_PLUS_COMPLETE_BUT_STAGED,SYSTEM_LEVEL_DOMESTIC,VSLO required; LCME/AOA NA only; 4th year only,STAGED_NOT_PUBLIC,n/a,
pilot-011-PA-upmc-western-psychiatric-hospital,UPMC Western Psychiatric Hospital,https://live-researchprograms-medschool-pitt.pantheonsite.io/international-visiting-student-program,https://web.archive.org/web/20260509182127/https://live-researchprograms-medschool-pitt.pantheonsite.io/international-visiting-student-program,docs/platform-v2/local/usce-completeness/manual-png-landing-1/screenshots/pilot-011-upmc-international-source.png,docs/platform-v2/local/usce-completeness/batch-3-evidence-landing-and-queue-reconciliation-1/screenshots/upmc-pitt-international-visiting-student-program.html,(quote in DRAFT source_quote_under_280),TIER_A_PLUS_COMPLETE_BUT_STAGED,SYSTEM_LEVEL_INTERNATIONAL_NO_WPIC_GUARANTEE,Final-year only; no graduates; $4500 per elective; Step 2 for psych; B-1/B-2 only,STAGED_NOT_PUBLIC,n/a,
pilot-012-NY-nyc-health-hospitals-lincoln,NYC Health + Hospitals/Lincoln,https://www.nychealthandhospitals.org/mosaic/visiting-scholars-program/,https://web.archive.org/web/20260412100521/https://www.nychealthandhospitals.org/mosaic/visiting-scholars-program/,docs/platform-v2/local/usce-completeness/manual-png-landing-1/screenshots/pilot-012-lincoln-mosaic-source.png,docs/platform-v2/local/usce-completeness/manual-png-landing-1/screenshots/lincoln-mosaic-wayback.html,(quote in DRAFT source_quote_under_280),TIER_A_PLUS_COMPLETE_BUT_STAGED,SYSTEM_LEVEL_NO_LINCOLN_GUARANTEE,US LCME/AOA only; Caribbean/IMG explicitly excluded; $2K stipend + $2K housing,STAGED_NOT_PUBLIC,Curator decision on Lincoln-specific guarantee or KEEP_INTERNAL,Tier-A+ Mac-local; bridge DRAFT VALIDATED. PNG extracted from Wayback with provenance banner.
pilot-012-NY-nyc-health-hospitals-lincoln,NYC Health + Hospitals/Lincoln,https://www.lincolnemergencymedicine.com/medical-students,https://web.archive.org/web/20260509182018/https://www.lincolnemergencymedicine.com/medical-students,docs/platform-v2/local/usce-completeness/manual-png-landing-1/screenshots/pilot-012-lincoln-em-source.png,n/a (live page captured directly),(quote in DRAFT source_quote_under_280),TIER_A_PLUS_COMPLETE_BUT_STAGED,SITE_SPECIFIC_LINCOLN_EM_ONLY,EM-specific MS3/4 4-week rotation; audience accreditation/fees/visa silent on this page,STAGED_NOT_PUBLIC,n/a,Supplementary EM-only secondary source.
