listing_id,institution_name,state,county,specialty,opportunity_type,source_page_type,listing_role,display_bucket,completeness_score,max_possible_score,public_ready_us_md_do,public_ready_international_student,public_ready_img_graduate,public_ready_caribbean_student,us_md_do_status,international_student_status,img_graduate_status,caribbean_student_status,eligible_audiences,excluded_audiences,unknown_audiences,restriction_tags,fit_warnings,hard_gates_hit,unknown_fields,img_eligibility_raw,application_url,official_source_url,source_status,identity_status_from_p98_6,listing_id_ref
ME-001,Maine Medical Center (MMC),ME,Cumberland,multispecialty,Elective,POLICY_HUB,SUPPORTING_SOURCE,SUPPORTING_SOURCE_ONLY,65,75,UNKNOWN,NO,NO,NO,INTERNAL_REVIEW_REQUIRED,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,VSLO_REQUIRED|IMG_EXCLUDED,VSLO_REQUIRED|IMG_EXCLUDED,HUB_OR_AFFILIATED_ROUTE|IMG_EXCLUDED|VSLO_REQUIRED,fee,NO,https://meded.mainehealth.org/meded/MedStudentApp/electives.aspx/,https://www.mainehealth.org/maine-medical-center/education-research/undergraduate-medical-education/visiting-medical-student-electives-mainehealth-maine-medical-center,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-001
ME-002,Togus VA Medical Center,ME,Kennebec,multispecialty,Elective,OFFICIAL_DEPARTMENT_PAGE,SUPPORTING_SOURCE,SUPPORTING_SOURCE_ONLY,28,75,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,INTERNAL_REVIEW_REQUIRED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,,,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,AFFILIATION_REQUIRED,AFFILIATION_REQUIRED,HUB_OR_AFFILIATED_ROUTE,img_graduate_eligibility|international_student_eligibility|caribbean_eligibility|application_method|application_url|fee|deadline,UNKNOWN,,https://www.va.gov/maine-health-care/locations/togus-va-medical-center/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-002
ME-003,Central Maine Medical Center / Central Maine Healthcare,ME,Androscoggin,multispecialty,Clerkship,POLICY_HUB,SUPPORTING_SOURCE,SUPPORTING_SOURCE_ONLY,43,75,UNKNOWN,YES,UNKNOWN,UNKNOWN,INTERNAL_REVIEW_REQUIRED,ELIGIBLE_EXPLICIT,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,INTERNATIONAL_STUDENT,,IMG_GRADUATE|CARIBBEAN_STUDENT,,,HUB_OR_AFFILIATED_ROUTE,img_graduate_eligibility|caribbean_eligibility|deadline,YES,https://www.cmhc.org/health-professionals/residency-programs-and-fellowship/medical-students/,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-003
ME-004,Maine Medical Center / General Surgery,ME,Cumberland,general_surgery,Sub-internship,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,READY_PUBLIC_US_STUDENT_ONLY,61,75,YES,NO,NO,NO,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,US_MD_DO,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,IMG_EXCLUDED,IMG_EXCLUDED,IMG_EXCLUDED,deadline,NO,,https://www.mainehealth.org/maine-medical-center/education-research/students-residents-fellows/residencies/general-surgery/rotations-electives,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-004
ME-005,Maine Medical Center / Emergency Medicine,ME,Cumberland,emergency_medicine,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,READY_PUBLIC_US_STUDENT_ONLY,59,75,YES,NO,NO,NO,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,US_MD_DO,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,VSLO_REQUIRED|IMG_EXCLUDED,VSLO_REQUIRED|IMG_EXCLUDED,IMG_EXCLUDED|VSLO_REQUIRED,application_url|fee|deadline,NO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/emergency-medicine-residency/medical-student-elective-emergency-medicine-residency,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-005
ME-006,Maine Medical Center / Anesthesiology,ME,Cumberland,anesthesiology,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,READY_PUBLIC_US_STUDENT_ONLY,57,75,YES,NO,NO,NO,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,US_MD_DO,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,VSLO_REQUIRED|IMG_EXCLUDED,VSLO_REQUIRED|IMG_EXCLUDED,IMG_EXCLUDED|VSLO_REQUIRED,application_url|fee|deadline,NO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/anesthesiology-residency/medical-student-elective,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-006
ME-007,Maine Medical Center / Interventional Radiology,ME,Cumberland,interventional_radiology,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,READY_PUBLIC_US_STUDENT_ONLY,54,75,YES,NO,NO,NO,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,US_MD_DO,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,IMG_EXCLUDED,IMG_EXCLUDED,IMG_EXCLUDED,fee|deadline,NO,,https://www.mainehealth.org/Maine-Medical-Center/Education-Research/Students-Residents-Fellows/Residencies/Interventional-Radiology/Medical-Student-Elective,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-007
ME-008,Maine Medical Center / Family Medicine,ME,Cumberland,family_medicine,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,READY_PUBLIC_US_STUDENT_ONLY,52,75,YES,NO,NO,NO,ELIGIBLE_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,EXCLUDED_EXPLICIT,US_MD_DO,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,VSLO_REQUIRED|IMG_EXCLUDED,VSLO_REQUIRED|IMG_EXCLUDED,IMG_EXCLUDED|VSLO_REQUIRED,application_url|fee|deadline,NO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/family-medicine-residency/medical-student-rotations,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-008
ME-009,Maine Medical Center / Pediatrics (Barbara Bush Children Hospital),ME,Cumberland,pediatrics,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,NEEDS_REVIEW,37,75,YES,UNKNOWN,UNKNOWN,UNKNOWN,ELIGIBLE_EXPLICIT,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,US_MD_DO,,INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,,P97_MANUAL_REVIEW,img_graduate_eligibility|international_student_eligibility|caribbean_eligibility|fee|deadline,NO,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/pediatrics-residency,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-009
ME-010,Maine Medical Center / Psychiatry,ME,Cumberland,psychiatry,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,NEEDS_REVIEW,27,75,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,,,US_MD_DO|INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,,P97_MANUAL_REVIEW,img_graduate_eligibility|international_student_eligibility|caribbean_eligibility|application_method|application_url|fee|deadline|duration,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/general-psychiatry-residency/medical-student-electives-general-psychiatry-residency,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-010
ME-011,Maine Medical Center / Diagnostic Radiology,ME,Cumberland,diagnostic_radiology,Elective,SPECIALTY_PAGE,PUBLIC_OPPORTUNITY,NEEDS_REVIEW,27,75,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,UNKNOWN_NOT_STATED,,,US_MD_DO|INTERNATIONAL_STUDENT|IMG_GRADUATE|CARIBBEAN_STUDENT,,,P97_MANUAL_REVIEW,img_graduate_eligibility|international_student_eligibility|caribbean_eligibility|application_method|application_url|fee|deadline|duration,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/diagnostic-radiology-residency/medical-student-opportunities-diagnostic-radiology-residency,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-011
ME-013,Northern Light Eastern Maine Medical Center,ME,Penobscot,multispecialty,Observership,OPPORTUNITY_PAGE,PUBLIC_OPPORTUNITY,NEEDS_REVIEW,43,75,YES,UNKNOWN,YES,UNKNOWN,ELIGIBLE_EXPLICIT,UNKNOWN_NOT_STATED,ELIGIBLE_EXPLICIT,UNKNOWN_NOT_STATED,US_MD_DO|IMG_GRADUATE,,INTERNATIONAL_STUDENT|CARIBBEAN_STUDENT,OBSERVERSHIP_ONLY,OBSERVERSHIP_ONLY,P97_MANUAL_REVIEW,international_student_eligibility|caribbean_eligibility|fee|deadline,NO,,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center/For-Medical-Professionals/Clinical-Education/Clinical-Observational-Experience,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-013
