backfill_rank,institution,state,packet_path,source_urls_count,t7_folder,backfill_status,notes
1,UAB Hospital,AL,docs/platform-v2/local/usce-discovery-command-center/institution-packets/AL/university-of-alabama-at-birmingham-hospital.json,1,/Volumes/T7Shield_Code/USCEHubEvidence/p101/AL/uab-hospital,QUEUED,
2,Stanford Health Care,CA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/CA/stanford-health-care.json,1,/Volumes/T7Shield_Code/USCEHubEvidence/p101/CA/stanford-health-care,QUEUED,
3,Emory University Hospital,GA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/GA/emory-university-hospital.json,3,/Volumes/T7Shield_Code/USCEHubEvidence/p101/GA/emory-university-hospital,QUEUED,Includes PDF policy document
4,UPMC Presbyterian,PA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/PA/upmc-presbyterian.json,2,/Volumes/T7Shield_Code/USCEHubEvidence/p101/PA/upmc-presbyterian,QUEUED,
5,Boston Medical Center,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/boston-medical-center.json,3,/Volumes/T7Shield_Code/USCEHubEvidence/p101/MA/boston-medical-center,QUEUED,
6,Parkland Health / UTSW,TX,docs/platform-v2/local/usce-discovery-command-center/institution-packets/TX/parkland-health-utsw.json,3,/Volumes/T7Shield_Code/USCEHubEvidence/p101/TX/parkland-health-utsw,QUEUED,
7,Brigham and Womens Hospital,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/brigham-and-womens-hospital.json,2,/Volumes/T7Shield_Code/USCEHubEvidence/p101/MA/brigham-and-womens-hospital,QUEUED,
8,Massachusetts General Hospital,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/massachusetts-general-hospital.json,2,/Volumes/T7Shield_Code/USCEHubEvidence/p101/MA/massachusetts-general-hospital,QUEUED,
9,Beth Israel Deaconess Medical Center,MA,docs/platform-v2/local/usce-discovery-command-center/institution-packets/MA/beth-israel-deaconess-medical-center.json,2,/Volumes/T7Shield_Code/USCEHubEvidence/p101/MA/beth-israel-deaconess-medical-center,QUEUED,
10,Cook County Health (Stroger),IL,docs/platform-v2/local/usce-discovery-command-center/institution-packets/IL/cook-county-health-stroger.json,1,/Volumes/T7Shield_Code/USCEHubEvidence/p101/IL/cook-county-health-stroger,QUEUED,
