p101_4_rank,original_queue_rank_if_any,state,city,institution_name,official_domain_if_known,duplicate_status,why_selected,source_of_selection,lane_type,expected_canonical_t7_folder,search_status
1,70,NY,Brooklyn,Brooklyn Hospital Center,tbh.org,NEW_NO_PRIOR_PACKET,P1_PUBLIC_SAFETY_NET; Brooklyn safety-net,queue_4 rank 70,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/NY/brooklyn-hospital-center,QUEUED
2,71,NY,Staten Island,Northwell Health - Staten Island University Hospital,northwell.edu,NEW_NO_PRIOR_PACKET,P2_SIBLING_EXPANSION; Northwell SI; Hofstra Northwell SOM,queue_4 rank 71,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/NY/northwell-staten-island-university-hospital,QUEUED
3,72,NY,New York,Memorial Sloan Kettering Cancer Center,mskcc.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; specialty AMC; oncology elective; HIGH yield hypothesis,queue_4 rank 72,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/NY/memorial-sloan-kettering-cancer-center,QUEUED
4,73,NY,New York,Hospital for Special Surgery,hss.edu,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; specialty AMC; ortho elective,queue_4 rank 73,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/NY/hospital-for-special-surgery,QUEUED
5,74,CT,New Haven,Yale-New Haven Children's Hospital,ynhh.org,NEW_NO_PRIOR_PACKET,P1_SIBLING_EXPANSION; Yale sibling; pediatric; CT first P101 packet,queue_4 rank 74,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/CT/yale-new-haven-childrens-hospital,QUEUED
6,75,CT,Hartford,Hartford Hospital,hartfordhospital.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; CT depth; UConn SOM affiliate,queue_4 rank 75,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/CT/hartford-hospital,QUEUED
7,76,CT,New Haven,Yale-New Haven St Raphael Campus,ynhh.org,NEW_NO_PRIOR_PACKET,P2_SIBLING_EXPANSION; Yale sibling,queue_4 rank 76,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/CT/yale-new-haven-st-raphael-campus,QUEUED
8,77,FL,Gainesville,University of Florida Health Shands Hospital,ufhealth.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; UF SOM AMC; FL first P101 packet,queue_4 rank 77,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/university-of-florida-health-shands-hospital,QUEUED
9,78,FL,Miami,University of Miami Miller SOM UHealth,umiamihealth.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; UM Miller SOM; international elective historically present,queue_4 rank 78,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/university-of-miami-miller-som-uhealth,QUEUED
10,79,FL,Tampa,Tampa General Hospital,tgh.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; USF Morsani affiliate,queue_4 rank 79,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/tampa-general-hospital,QUEUED
11,80,FL,Orlando,AdventHealth Orlando,adventhealth.com,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; FL depth; large system,queue_4 rank 80,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/adventhealth-orlando,QUEUED
12,81,FL,Hollywood,Memorial Healthcare System - Memorial Regional Hospital,mhs.net,NEW_NO_PRIOR_PACKET,P1_PUBLIC_SAFETY_NET; FL safety-net,queue_4 rank 81,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/memorial-regional-hollywood,QUEUED
13,82,FL,Orlando,Orlando Health Orlando Regional Medical Center,orlandohealth.com,NEW_NO_PRIOR_PACKET,P2_SIBLING_EXPANSION; FL depth,queue_4 rank 82,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/orlando-health-orlando-regional-medical-center,QUEUED
14,83,TX,Houston,Texas Children's Hospital,texaschildrens.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; pediatric AMC; Baylor COM,queue_4 rank 83,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/texas-childrens-hospital,QUEUED
15,84,TX,Houston,Houston Methodist Hospital,houstonmethodist.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; TX depth; Weill Cornell + multiple SOMs; HIGH yield,queue_4 rank 84,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/houston-methodist-hospital,QUEUED
16,85,TX,Houston,Memorial Hermann-Texas Medical Center,memorialhermann.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; UTHealth Houston affiliate,queue_4 rank 85,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/memorial-hermann-texas-medical-center,QUEUED
17,86,TX,Dallas,Baylor University Medical Center,bswhealth.com,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; Baylor Scott and White,queue_4 rank 86,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/baylor-university-medical-center-dallas,QUEUED
18,87,TX,Dallas,UT Southwestern Clements University Hospital,utswmed.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; UTSW SOM AMC; sibling of P101-3 Parkland Health/UTSW packet,queue_4 rank 87,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/ut-southwestern-clements-university-hospital,QUEUED
19,88,LA,New Orleans,University Medical Center New Orleans,umcno.org,NEW_NO_PRIOR_PACKET,P1_PUBLIC_SAFETY_NET; LSU + Tulane rotation site; LA first P101 packet,queue_4 rank 88,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/LA/university-medical-center-new-orleans,QUEUED
