p101_5_rank,intended_p101_4_packet_number,original_queue_rank_if_any,state,city,institution_name,official_domain_if_known,duplicate_status,why_selected,source_of_selection,lane_type,expected_canonical_t7_folder,search_status
1,6,75,CT,Hartford,Hartford Hospital,hartfordhospital.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; CT depth; UConn SOM affiliate,p101_4_selected_25_queue.csv rank 6,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/CT/hartford-hospital,QUEUED
2,7,76,CT,New Haven,Yale-New Haven St Raphael Campus,ynhh.org,NEW_NO_PRIOR_PACKET,P2_SIBLING_EXPANSION; Yale sibling,p101_4_selected_25_queue.csv rank 7,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/CT/yale-new-haven-st-raphael-campus,QUEUED
3,8,77,FL,Gainesville,University of Florida Health Shands Hospital,ufhealth.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; UF SOM AMC; FL first P101 packet,p101_4_selected_25_queue.csv rank 8,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/university-of-florida-health-shands-hospital,QUEUED
4,9,78,FL,Miami,University of Miami Miller SOM UHealth,umiamihealth.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; UM Miller SOM; international elective historically present,p101_4_selected_25_queue.csv rank 9,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/university-of-miami-miller-som-uhealth,QUEUED
5,10,79,FL,Tampa,Tampa General Hospital,tgh.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; USF Morsani affiliate,p101_4_selected_25_queue.csv rank 10,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/tampa-general-hospital,QUEUED
6,11,80,FL,Orlando,AdventHealth Orlando,adventhealth.com,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; FL depth,p101_4_selected_25_queue.csv rank 11,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/adventhealth-orlando,QUEUED
7,12,81,FL,Hollywood,Memorial Healthcare System - Memorial Regional Hospital,mhs.net,NEW_NO_PRIOR_PACKET,P1_PUBLIC_SAFETY_NET; FL safety-net,p101_4_selected_25_queue.csv rank 12,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/memorial-regional-hollywood,QUEUED
8,13,82,FL,Orlando,Orlando Health Orlando Regional Medical Center,orlandohealth.com,NEW_NO_PRIOR_PACKET,P2_SIBLING_EXPANSION; FL depth,p101_4_selected_25_queue.csv rank 13,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/FL/orlando-health-orlando-regional-medical-center,QUEUED
9,14,83,TX,Houston,Texas Children's Hospital,texaschildrens.org,NEW_NO_PRIOR_PACKET,P1_AMC_GAP; pediatric AMC; Baylor COM,p101_4_selected_25_queue.csv rank 14,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/texas-childrens-hospital,QUEUED
10,15,84,TX,Houston,Houston Methodist Hospital,houstonmethodist.org,NEW_NO_PRIOR_PACKET,P0_AMC_GAP; TX depth; Weill Cornell + multiple SOMs,p101_4_selected_25_queue.csv rank 15,QUEUE_4_NATIONAL,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p101/TX/houston-methodist-hospital,QUEUED
