packet_institution,state,sourceUrl,sourcePageType,sourceScopeDecision,classification,confidenceTier,verbatim_quote_short,quote_supports
UAMS Medical Center,AR,https://medicine.uams.edu/students/visiting-students/,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,matriculated at an LCME accredited medical school or a school of osteopathic medicine accredited by the American Osteopathic Association,audience
UAMS Medical Center,AR,https://medicine.uams.edu/students/visiting-students/,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,may pursue elective studies at the University of Arkansas College of Medicine for no more than a total of eight (8) weeks and the usual period is four weeks,duration
UAMS Medical Center,AR,https://medicine.uams.edu/students/visiting-students/,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,UAMS uses VSLO the Visiting Student Learning Opportunities to receive visiting student applications,application
UAB Hospital,AL,https://www.uab.edu/medicine/international/international-programs/international-visiting-medical-students,INSTITUTION_HUB,INSTITUTION_SPECIFIC,INTERNATIONAL_STUDENT_CONFIRMED,TIER_B_CAUTION_SAFE,You must be in the final year of training at your home school or you must have completed one year of core clerkship rotations,audience
UAB Hospital,AL,https://www.uab.edu/medicine/international/international-programs/international-visiting-medical-students,FEE_SCHEDULE,INSTITUTION_SPECIFIC,INTERNATIONAL_STUDENT_CONFIRMED,TIER_B_CAUTION_SAFE,The application fee of $350 is non-refundable Cost per 4-week non-credit elective is $5200,cost
UAB Hospital,AL,https://www.uab.edu/medicine/international/international-programs/international-visiting-medical-students,INSTITUTION_HUB,INSTITUTION_SPECIFIC,INTERNATIONAL_STUDENT_CONFIRMED,TIER_B_CAUTION_SAFE,students participating in the IVMS Program enter the United States on a B-1/B-2 Visa with passport stamp for B-1,visa
MedStar Washington Hospital Center,DC,https://meded.georgetown.edu/medicaleducation/visiting-students-program/,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,Visiting electives are offered to 4th-year medical students enrolled in U.S. LCME-accredited and osteopathic institutions,audience
MedStar Washington Hospital Center,DC,https://meded.georgetown.edu/medicaleducation/visiting-students-program/,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,rotations at other Georgetown/MedStar Health sites including MedStar Washington Hospital Center and our Baltimore locations,sourceScope
MedStar Washington Hospital Center,DC,https://meded.georgetown.edu/medicaleducation/visiting-students-program/,FEE_SCHEDULE,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,$150 Administrative Fee submitted electronically via credit card non-refundable plus $6 credit card processing fee for a total required payment of $156,cost
GW Hospital,DC,https://smhs.gwu.edu/academics/md-program/visiting-students,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,Students who take an elective must be enrolled in their senior year of medical school at a U.S. LCME medical school or COCA accredited AACOM member colleges,audience
GW Hospital,DC,https://smhs.gwu.edu/academics/md-program/visiting-students,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,we will provide ID access for the School of Medicine & Health Sciences (Ross Hall) the GW Hospital and the Himmelfarb Library,sourceScope
GW Hospital,DC,https://smhs.gwu.edu/academics/md-program/visiting-students,FEE_SCHEDULE,SCHOOL_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,The required application fee is $75.00 (due upon acceptance),cost
GW Hospital ICEP intl lane,DC,https://imp.smhs.gwu.edu/international-clinical-electives-program-icep-international-students,INSTITUTION_HUB,SCHOOL_LEVEL_SOURCE,AFFILIATED_ONLY,TIER_C_NEEDS_REVIEW,IMP can only process applications from international students that are current students at one of the ICEP-affiliated sites and have been selected by their home university to participate in an elective at GW,audience
Howard University Hospital,DC,https://medicine.howard.edu/education/graduate-medical-education-gme/residency/dermatology/visiting-student-rotation,DEPARTMENT_PAGE,DEPARTMENT_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,All applications must be submitted through the Visiting Student Learning Opportunities (VSLO) program website,application
Howard University Hospital,DC,https://medicine.howard.edu/education/graduate-medical-education-gme/residency/dermatology/visiting-student-rotation,DEPARTMENT_PAGE,DEPARTMENT_LEVEL_SOURCE,VSLO_US_MD_DO_ONLY,TIER_B_CAUTION_SAFE,All applications are processed based on the month applied and are approved on a first-come first serve basis,application
