listingId,listingTitle,institution,programType,currentUrl,currentClassification,pagesOpened,searchTermsTried,candidateUrlsFound,rejectedUrls,finalUrl,finalClassification,evidenceQuote,sourcePageTitle,audienceDecision,applicationDecision,costDecision,visaDecision,sourceScopeDecision,countsAsTrueUSCE,countsAsResearch,needsManualBrowser,actionTaken,reason,stopCondition,nextAction,reviewedAt
61,Richmond University Medical Center,Richmond University Medical Center,observership,https://www.rumcsi.org/,BORDERLINE_KEEP_REVERIFY,rumcsi.org/careers/graduate-medical-education/,Richmond University Medical Center visiting medical students,rumcsi.org/careers/graduate-medical-education/,,https://www.rumcsi.org/careers/graduate-medical-education/,BORDERLINE_KEEP_REVERIFY,no published visiting student program,GME landing page,unknown,unknown,unknown,unknown,institution-specific,FALSE,FALSE,TRUE,verified-links.ts updated with GME landing + verified:false,no M4 program visible on institutional site,phone outreach (844-934-2273) needed,manual reverify,2026-05-17
62,Rush University Medical Center,Rush University Medical Center,observership,https://www.rushu.rush.edu/education-training/graduate-medical-education,BORDERLINE_KEEP_REVERIFY,rushu.rush.edu/rush-medical-college/visiting-medical-students,Rush University Medical Center visiting medical students,rushu.rush.edu/rush-medical-college/visiting-medical-students,,https://www.rushu.rush.edu/rush-medical-college/visiting-medical-students,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Rush Medical College welcomes applications for visiting medical students from LCME-accredited or COCA-accredited medical schools only",Visiting Medical Students - Rush Medical College,us-md-do,VSAS,unspecified,no INTL pathway,institution-specific,TRUE,FALSE,FALSE,replaced prior verified:false GME stub with college visiting page,GME office doesn't manage observerships but Rush Medical College has dedicated page,direct USCE page confirmed,none,2026-05-17
63,St. Barnabas Hospital,St. Barnabas Hospital,observership,https://www.sbhny.org/,BORDERLINE_KEEP_REVERIFY,sbhny.org/healthcare-professionals/residency-programs/emergency-medicine-residency-program/,SBH Health System St Barnabas visiting medical student VSLO,sbhny.org/healthcare-professionals/residency-programs/emergency-medicine-residency-program/,sbhny.org/EMResidency/letter-from-clerkship-director/ (404),https://www.sbhny.org/healthcare-professionals/residency-programs/emergency-medicine-residency-program/,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"This offering is open to qualified applicants from any medical school. At this time we cannot accommodate applicants who require a U.S. visa.",Emergency Medicine Residency Program - SBH Health System,any-accredited-no-visa,direct (lroderick@sbhny.org),unspecified,no visa sponsorship,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces homepage with EM residency page,4-wk M4 EM sub-I 10 shifts primary-provider 80+ students/yr,direct USCE page confirmed,none,2026-05-17
64,St. John's Episcopal Hospital,St. John's Episcopal Hospital,observership,https://www.ehs.org/,BORDERLINE_KEEP_REVERIFY,ehs.org/medical-education/medical-student-elective/,Episcopal Health Services St John visiting medical student elective,ehs.org/medical-education/medical-student-elective/,,https://www.ehs.org/medical-education/medical-student-elective/,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Pathology: This elective provides exposure to the wide range of clinical services and research activities of the Department of Pathology and Laboratory Medicine. Two and four week rotations are available.",Medical Student Elective - Episcopal Health Services,affiliation-agreement-only,direct (fbaksh@ehs.org),unspecified,affiliation-agreement-partner-INTL,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces homepage with elective page,direct USCE page lists 7 elective tracks,direct USCE page confirmed,none,2026-05-17
65,Stony Brook University Hospital,Stony Brook University Hospital,observership,https://renaissance.stonybrookmedicine.edu/gme,BORDERLINE_KEEP_REVERIFY,renaissance.stonybrookmedicine.edu/ugme/visiting_students,Stony Brook visiting medical students VSLO,renaissance.stonybrookmedicine.edu/ugme/visiting_students,,https://renaissance.stonybrookmedicine.edu/ugme/visiting_students,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Before a student can be accepted for any elective there must be a fully executed affiliation agreement between Stony Brook University Hospital and the student's home medical school. There are no exceptions.",Visiting Students - Renaissance School of Medicine,us-md-do,VSLO + 6-8 wk affiliation agreement,unspecified,INTL only via global health partnership,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces GME-only landing with VS page,direct USCE page confirmed with affiliation agreement gate,direct USCE page confirmed,none,2026-05-17
66,Summa Health System — Akron,Summa Health System — Akron,observership,https://www.summahealth.org/,BORDERLINE_KEEP_REVERIFY,summahealth.org/medicaleducation/elective-programs/senior-elective-information,Summa Health Akron senior elective visiting student VSLO,summahealth.org/medicaleducation/elective-programs/senior-elective-information,,https://www.summahealth.org/medicaleducation/elective-programs/senior-elective-information,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Summa Health System accepts visiting student applications through the Visiting Student Learning Opportunity (VSLO) website",Senior Elective Information - Summa Health,us-md-do,VSLO,unspecified,no INTL pathway,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces homepage with senior elective page,50+ M4 electives NEOMED affiliation,direct USCE page confirmed,none,2026-05-17
67,SUNY Downstate Medical Center,SUNY Downstate Medical Center,observership,https://www.downstate.edu/education-training/graduate-medical-education/index.html,BORDERLINE_KEEP_REVERIFY,downstate.edu/education-training/student-services/registrar/visiting/index.html,SUNY Downstate visiting medical students VSLO,downstate.edu/education-training/student-services/registrar/visiting/index.html,,https://www.downstate.edu/education-training/student-services/registrar/visiting/index.html,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"International Medical Students: Rotation at SUNY Downstate Health Sciences University - College of Medicine are currently closed for international medical students.",Visiting Students - SUNY Downstate Registrar,us-md-do-canada-pr,VSLO 45 days min,unspecified,INTL CLOSED,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces GME-only landing with registrar VS page,same URL serves Kings County (packet #31) under shared registrar,direct USCE page confirmed,none,2026-05-17
68,Tampa General Hospital / USF Health,Tampa General Hospital / USF Health,observership,https://health.usf.edu/medicine/gme,BORDERLINE_KEEP_REVERIFY,health.usf.edu/registrar/md-visiting-students,USF Morsani visiting medical students 2026,health.usf.edu/registrar/md-visiting-students,health.usf.edu/medicine/registrar/md-visiting-students (404),https://health.usf.edu/registrar/md-visiting-students,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"The USF Morsani College of Medicine does not assess tuition or fees for visiting students.",Visiting Students - USF Health,us-md-do,VSLO ≥1 month,no tuition no fee,no INTL pathway,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces GME-only landing with USF registrar VS page,M4 with cores complete LCME/COCA,direct USCE page confirmed,none,2026-05-17
69,Temple University Hospital,Temple University Hospital,observership,https://medicine.temple.edu/education/graduate-medical-education,BORDERLINE_KEEP_REVERIFY,medicine.temple.edu/education/md-program/visiting-students,Temple Lewis Katz visiting medical students VSAS,medicine.temple.edu/education/md-program/visiting-students,,https://medicine.temple.edu/education/md-program/visiting-students,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"Applications are made through the Visiting Student Application Service (VSAS). LKSOM's annual elective catalog opens in the spring after our own students' fourth year schedules have been finalized.",Visiting Students - Lewis Katz SOM Temple,us-md-do,VSAS space-available,unspecified,no INTL pathway,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces GME-only landing with LKSOM VS page,M4 only cores complete + BLS/ACLS + bg check,direct USCE page confirmed,none,2026-05-17
70,Tulane Medical Center,Tulane Medical Center,observership,https://medicine.tulane.edu/,BORDERLINE_KEEP_REVERIFY,medicine.tulane.edu/student-affairs/visiting-students,Tulane visiting medical students VSLO,medicine.tulane.edu/student-affairs/visiting-students,,https://medicine.tulane.edu/student-affairs/visiting-students,MOVED_REORIENTED_TO_TRUE_USCE_LINK,"We are NOT able to accommodate students from medical schools located outside of the United States.",Visiting Students - Tulane SOM,us-md-only,VSLO,$225/rotation non-refundable,INTL EXCLUDED,institution-specific,TRUE,FALSE,FALSE,verified-links.ts replaces homepage with VS page,M4 with cores Step 1 pass + neurology completed,direct USCE page confirmed,none,2026-05-17
