reviewId,sourceQueueId,runId,institutionId,institutionName,state,city,sourceUrl,sourceScope,deepSourceFamily,visibilityLane,confidence,priorityScore,priorityReasons,quote,warnings,urlDuplicateCount,proposedOpportunityName,proposedOpportunityType,proposedAudience,proposedCampus,reviewerDecision,decisionReason,campusApplicabilityProof,approvedOpportunityRowId,duplicateOfRowId,reviewer,reviewedAt,notes
rev_0001,hm-conflict-4,p102-1-trial-2-run-1,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/observership,INSTITUTION_SPECIFIC,EXTERNSHIP,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=EXTERNSHIP | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,"Submit the following via email to Kathryn N. Pidcock, PharmD, BCPS at knpidcock@houstonmethodist.org",,16,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0002,emory_dom_scope_mismatch,p102-pc-10-emory,inst_emory_university_hospital_ga,Emory University Hospital,GA,Atlanta,https://med.emory.edu/medicine/international,INSTITUTION_SPECIFIC,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,18,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane,Department of Medicine | Emory School of Medicine,,0,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0003,c_ucsf_meded_careers_ucsf_only,p102-hy-7-meded-ucsf,inst_ucsf_school_of_medicine_ca,UCSF School of Medicine,CA,San Francisco,https://meded.ucsf.edu/careers,CAREERS_PORTAL,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -2 warnings=1,Please note that appointments are for current and graduated UCSF Medical Students only,"Restriction applies to advising appointments, not to a USCE program.",1,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0004,emory_edu_scope_conflict,p102-pc-10-emory,inst_emory_university_hospital_ga,Emory University Hospital,GA,Atlanta,https://med.emory.edu/education,INSTITUTION_SPECIFIC,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -2 warnings=1,Emory University School of Medicine,Med school scope cannot directly support PUBLIC_SAFE_USCE for hospital institution without campus-applicability proof.,2,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0005,emory_dom_url_content_mismatch,p102-pc-10-emory,inst_emory_university_hospital_ga,Emory University Hospital,GA,Atlanta,https://med.emory.edu/medicine/international/international-programs,INSTITUTION_SPECIFIC,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -2 warnings=1,Department of Medicine | Emory School of MedicineSkip to main contentEmory University School of Medicine,Possible JS-rendered content not captured; re-fetch may be needed to obtain international-programs content.,1,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0006,emory_source_family_mismatch,p102-pc-10-emory,inst_emory_university_hospital_ga,Emory University Hospital,GA,Atlanta,https://med.emory.edu/medicine/international/international-programs/international-visiting-medical-students,INSTITUTION_SPECIFIC,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -2 warnings=1,"Department of Medicine | Emory School of MedicineSkip to main contentEmory University School of MedicineAbout Toggle Menu ToggleOur VisionAcademic DepartmentsOur LeadershipHealth Care PartnershipsDiversity, Equity, & InclusionLocation","Cleaned text contains no substantive international visiting student eligibility, application, cost, duration, or contact information.",1,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0007,c_emory_scope_conflict,p102-pc-10-emory,inst_emory_university_hospital_ga,Emory University Hospital,GA,Atlanta,http://med.emory.edu/research/training/index.html,INSTITUTION_SPECIFIC,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,16,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -2 warnings=1,Training | Emory School of Medicine,Institution is Emory University Hospital but page is medical-school scope; no campus-applicability proof.,2,,,,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0008,hm-medu-02,p102-pc-6-houston-methodist-deep,inst_houston_methodist_hospital_tx_deep,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/academic-institute/education/medical,INSTITUTION_SPECIFIC,MEDICAL_EDUCATION,CAUTION_SAFE_INTERNAL_REVIEW,MEDIUM,16,+6 tier_1_family=MEDICAL_EDUCATION | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +5 caution_safe_lane | -2 warnings=1,Medical student rotations at Houston Methodist give residents the proper amount of time and responsibility needed to achieve and surpass their professional goals.,Audience eligibility (own students vs visiting) not stated.,3,,,us-md-do,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0009,c1,p102-pc-6-houston-methodist-deep,inst_houston_methodist_hospital_tx_deep,Houston Methodist Hospital,TX,Houston,https://houstonmethodist.org/academic-institute/education/medical/medical-student-rotations,INSTITUTION_SPECIFIC,OBSERVERSHIP,CAUTION_SAFE_INTERNAL_REVIEW,MEDIUM,16,+6 tier_1_family=OBSERVERSHIP | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +5 caution_safe_lane | -2 warnings=1,Medical student rotations and observerships at Houston Methodist give residents the proper amount of time and responsibility needed to achieve and surpass their professional goals.,"Page text mentions both rotations and observerships but provides no eligibility, duration, or pathway specifics.",8,,,img-observer,,KEEP_HUMAN_REVIEW,,,,,,,
rev_0010,sc_1,p102-1-trial-2-run-3,inst_adventhealth_orlando_fl,AdventHealth Orlando,FL,Orlando,https://adventhealth.com/medical-education,HEALTH_SYSTEM_LEVEL,MEDICAL_EDUCATION,HUMAN_REVIEW_REQUIRED,HIGH,15,+6 tier_1_family=MEDICAL_EDUCATION | +3 HIGH confidence | +5 url_contains_institution_or_campus_token | +2 quote_names_institution_or_campus | +2 human_review_lane | -3 scope=HEALTH_SYSTEM_LEVEL,Medical Education | AdventHealth Digestive Health Institute West Florida,,7,,,,,KEEP_HUMAN_REVIEW,,,,,,,
