seedId,institutionId,institutionName,parentSystem,campus,city,state,sourceUrl,sourceDomain,expectedAudience,expectedOpportunityType,expectedSpecialty,expectedCampus,expectedDirectLink,knownGoodReason,priorEvidenceRef,notes,runStatus,finalStatus
live_100,inst_live_mount_sinai_hospital,Mount Sinai Hospital,,,New York,NY,https://www.mountsinai.org/about/international/programs,www.mountsinai.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Department-specific — Surgery, Transplant, other departments",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: Varies by department | visa: B1/B2,PENDING,PENDING
live_101,inst_live_montefiore_albert_einstein,Montefiore / Albert Einstein,,,Bronx,NY,https://montefioreeinstein.org/education/gme,montefioreeinstein.org,IMG_GRADUATE_EXTERNSHIP,OBSERVERSHIP,"Internal Medicine, Pediatrics, Surgery, Family Medicine",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,"fee: paid | duration: 4-12 weeks | visa: B1/B2, J1",PENDING,PENDING
live_102,inst_live_nyu_langone_health,NYU Langone Health,,,New York,NY,https://med.nyu.edu/,med.nyu.edu,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Radiology, Orthopedics, more",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_103,inst_live_newyork_presbyterian_columbia,NewYork-Presbyterian / Columbia,,,New York,NY,https://www.nyp.org/,www.nyp.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Cardiac Surgery, Neurology, Oncology, Transplant",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_104,inst_live_newyork_presbyterian_weill_cornell,NewYork-Presbyterian / Weill Cornell,,,New York,NY,https://www.nyp.org/,www.nyp.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Oncology, Neurology",,false,verified-links.ts (verified=false),usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-4 weeks | visa: B1/B2,PENDING,PENDING
live_105,inst_live_mount_sinai_beth_israel,Mount Sinai Beth Israel,,,New York,NY,https://www.mountsinai.org/locations/beth-israel/education/graduate-medical-education,www.mountsinai.org,IMG_GRADUATE_EXTERNSHIP,OBSERVERSHIP,"Internal Medicine, Surgery, Geriatrics",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_106,inst_live_mount_sinai_morningside_west,Mount Sinai Morningside / West,,,New York,NY,https://www.mountsinai.org/,www.mountsinai.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Surgery, Psychiatry, Emergency Medicine",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: paid | duration: 2-8 weeks | visa: B1/B2,PENDING,PENDING
live_107,inst_live_maimonides_medical_center,Maimonides Medical Center,,,Brooklyn,NY,https://www.maimonides.org/gme/,www.maimonides.org,IMG_GRADUATE_EXTERNSHIP,OBSERVERSHIP,"Internal Medicine, Pediatrics, Surgery, OB/GYN",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,"fee: paid | duration: 4-12 weeks | visa: B1/B2, J1",PENDING,PENDING
live_108,inst_live_interfaith_medical_center,Interfaith Medical Center,,,Brooklyn,NY,https://www.interfaithmedical.org/graduate-medical-education,www.interfaithmedical.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Psychiatry, Surgery",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_109,inst_live_jacobi_medical_center,Jacobi Medical Center,,,Bronx,NY,https://www.nychealthandhospitals.org/jacobi/graduate-medical-education/,www.nychealthandhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Emergency Medicine, Surgery, Pediatrics",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
live_110,inst_live_elmhurst_hospital_center,Elmhurst Hospital Center,,,Queens,NY,https://www.nychealthandhospitals.org/elmhurst/graduate-medical-education/,www.nychealthandhospitals.org,IMG_GRADUATE_OBSERVER,OBSERVERSHIP,"Internal Medicine, Psychiatry, Surgery, Pediatrics",,false,data.js raw link,usmle-observerships/data.js + prisma/verified-links.ts,fee: free | duration: 4-12 weeks | visa: B1/B2,PENDING,PENDING
