schema_version,queue_id,scope_type,scope_value,rank,institution_id,canonical_name,state,county,city,official_domain,target_lanes,priority,why_included,status,assigned_run_id,locked_at,completed_at,next_action,notes
p102-0r-1,p102_positive_control_usce,INSTITUTION,memorial-sloan-kettering-cancer-center,1,inst_memorial_sloan_kettering_cancer_center_ny,Memorial Sloan Kettering Cancer Center,NY,New York,New York,mskcc.org,IMG_OBSERVERSHIP|INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_A_PUBLIC_SAFE x 2 URLs: /hcp-education-training/medical-students/elective (INTERNATIONAL_STUDENT_CONFIRMED) + /medical-student-observerships (IMG_GRAD_OBSERVERSHIP_CONFIRMED) both on mskcc.org INSTITUTION_SPECIFIC,NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE
p102-0r-1,p102_positive_control_usce,INSTITUTION,orlando-health-orlando-regional-medical-center,2,inst_orlando_health_orlando_regional_medical_center_fl,Orlando Health Orlando Regional Medical Center,FL,Orange,Orlando,orlandohealth.com,INTERNATIONAL_MEDICAL_STUDENT|CLINICAL_ELECTIVE|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_A_PUBLIC_SAFE: /medical-professionals/graduate-medical-education/clerkship-programs INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED,NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE
p102-0r-1,p102_positive_control_usce,INSTITUTION,univ-miami-uhealth-miller-som,3,inst_univ_miami_uhealth_miller_som_fl,University of Miami Miller SOM UHealth,FL,Miami-Dade,Miami,med.miami.edu,IMG_OBSERVERSHIP|INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_A_PUBLIC_SAFE x 2: /offices/faculty-affairs/services/observerships (IMG INTERNATIONAL_STUDENT_CONFIRMED) + /medical-education/student-affairs/registrar/externships-services (VSLO),NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE
p102-0r-1,p102_positive_control_usce,INSTITUTION,memorial-healthcare-system-hollywood,4,inst_memorial_regional_hollywood_fl,Memorial Healthcare System - Memorial Regional Hollywood,FL,Broward,Hollywood,mhs.net,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HIGH,P101-1 TIER_A_PUBLIC_SAFE: /education/undergraduate-medical-education/requirements-for-visiting-students INSTITUTION_SPECIFIC VSLO_US_MD_DO_ONLY,NOT_STARTED,,,,fetch_a0_probe,Positive control: VSLO US-only positive (test domestic visiting student path)
p102-0r-1,p102_positive_control_usce,INSTITUTION,hospital-for-special-surgery,5,inst_hospital_for_special_surgery_ny,Hospital for Special Surgery,NY,New York,New York,hss.edu,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_B_CAUTION_SAFE: /education-institute/academic-visitor-program INSTITUTION_SPECIFIC IMG_GRAD_OBSERVERSHIP_CONFIRMED,NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE or CAUTION_SAFE
p102-0r-1,p102_positive_control_usce,INSTITUTION,houston-methodist-hospital-deep,6,inst_houston_methodist_hospital_tx_deep,Houston Methodist Hospital,TX,Harris,Houston,houstonmethodist.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,MEDIUM,P101 TIER_B_CAUTION_SAFE: /academic-institute/education/medical/medical-student-rotations/ INSTITUTION_SPECIFIC IMG_GRAD_OBSERVERSHIP_CONFIRMED — re-test under deep mode (gold-test used the legacy /observership path which was a pharmacy externship redirect),NOT_STARTED,,,,fetch_a0_probe,Positive control: should reveal real /medical-student-rotations
p102-0r-1,p102_positive_control_usce,INSTITUTION,uab-hospital,7,inst_uab_hospital_al,UAB Hospital,AL,Jefferson,Birmingham,uab.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,MEDIUM,P101-0 TIER_B_CAUTION_SAFE: /medicine/international/international-programs/international-visiting-medical-students INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED ($350 app fee $5200/4wk explicit; B-1/B-2 visa explicit),NOT_STARTED,,,,fetch_a0_probe,Positive control: clear international visiting MS program
p102-0r-1,p102_positive_control_usce,INSTITUTION,stanford-health-care,8,inst_stanford_health_care_ca,Stanford Health Care,CA,Santa Clara,Stanford,med.stanford.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,MEDIUM,P101-1 TIER_B_CAUTION_SAFE: /visiting-clerkships/international.html INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED ($3100/2wk $6200/4wk explicit; SlideRoom application),NOT_STARTED,,,,fetch_a0_probe,Positive control: clear IVS Program
p102-0r-1,p102_positive_control_usce,INSTITUTION,ucsf-fresno,9,inst_ucsf_fresno_ca,UCSF Fresno,CA,Fresno,Fresno,fresno.ucsf.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,MEDIUM,P101-1 TIER_C_NEEDS_REVIEW: /medical-student-programs/international-non-lcme-visiting-students INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED ($1040/4wk explicit; non-LCME route),NOT_STARTED,,,,fetch_a0_probe,Positive control: edge-case Tier_C (regional UCSF affiliate)
p102-0r-1,p102_positive_control_usce,INSTITUTION,emory-university-hospital,10,inst_emory_university_hospital_ga,Emory University Hospital,GA,DeKalb,Atlanta,med.emory.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,MEDIUM,P101 TIER_B_CAUTION_SAFE: /education/admissions/visiting/index.html SCHOOL_LEVEL_SOURCE INTERNATIONAL_STUDENT_CONFIRMED,NOT_STARTED,,,,fetch_a0_probe,Positive control: tests SCHOOL_LEVEL_SOURCE positive (med.emory.edu)
