schema_version,artifact_id,run_id,institution_id,source_url,artifact_type,path,sha256,captured_at,status,failure_reason
p102-0r-1,manifest_1,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/care-sheets/how-to-research-cancer,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/cleaned_text/sm_36cafc9d41f213a8.txt,bc9936250e0577b5ad7e13e7d0945a5c053bd7669ef664bc382191e6a59d4228,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_2,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/care-sheets/how-to-research-cancer,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/raw_html/sm_36cafc9d41f213a8.html,,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_3,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/birthmarks-pigmented,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/cleaned_text/sm_71cdf3fc88d83f92.txt,69c7d406c76dc4d448c45b22528241885d8f73c13fe17884709d7902e3369809,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_4,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/birthmarks-pigmented,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/raw_html/sm_71cdf3fc88d83f92.html,,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_5,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/birthmarks-pigmented/doctors,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/cleaned_text/sm_1a704c2d4129cea6.txt,5d657a01da5a2ae945c7b3678e52f11e7fb0d2618d9c676e78443b5e560313be,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_6,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/birthmarks-pigmented/doctors,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/raw_html/sm_1a704c2d4129cea6.html,,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_7,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/brain-tumor-primary-adults/research-studies,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/cleaned_text/sm_18e9b666221cecfd.txt,d42a8c3db44e768b4dc51792c16317d2a53c1c0773f91ff4c7b4dd44624dde0b,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_8,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/brain-tumor-primary-adults/research-studies,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/raw_html/sm_18e9b666221cecfd.html,,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_9,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/breast-augmentation-surgery,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/cleaned_text/sm_4179c5b94f95e31f.txt,c7d3c07e1f44b60f467b20eb3a5739a0fcdeac812d490012edd6f9c7905b48fc,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_10,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/breast-augmentation-surgery,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/raw_html/sm_4179c5b94f95e31f.html,,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_11,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/breast-augmentation-surgery/doctors,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/cleaned_text/sm_2315aad5076a2db0.txt,5748e71fd582035eae6e2cbdf371e0e30c3db9f5076707c5cdf9fe070241c385,2026-05-15T21:40:28.275Z,OK,
p102-0r-1,manifest_12,p102-fl-4-uf-health-shands,inst_uf_health_shands_fl,https://ufhealth.org/conditions-and-treatments/breast-augmentation-surgery/doctors,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-4-uf-health-shands/raw_html/sm_2315aad5076a2db0.html,,2026-05-15T21:40:28.275Z,OK,
