schema_version,artifact_id,run_id,institution_id,source_url,artifact_type,path,sha256,captured_at,status,failure_reason
p102-0r-1,manifest_1,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/research,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/research.txt,b33b2fd8d2585ab0bb19e38cdad9f70611d456d578f48dcf213b4f72674b6dca,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_2,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/research,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/research.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_3,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/volunteer,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/volunteer.txt,00cb9ab585940f38d93ad794c6c52c8193ee4ffe4579e07c9f3a69c6b8eeb1d2,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_4,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/volunteer,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/volunteer.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_5,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/gme,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/gme.txt,fc46b8d96df2976f5f1a209b0c04a2b4778a92be66d07662f7663ad0289a2f6d,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_6,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/gme,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/gme.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_7,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/careers,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/careers.txt,c6c09b70aa6189b76edc92a7c3ef65496ad320756873a5222195c9d2f29e405e,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_8,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/careers,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/careers.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_9,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/medical-education,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/medical-education.txt,8458b015328efdca22bf691ac7a6b98aba7748fd9d5d77cbbf488dd10c3c8062,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_10,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/medical-education,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/medical-education.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_11,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/medical-professionals,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/medical-professionals.txt,eb04ab13acfb28c21678ea6759e583ab84f2dbd074cbfdf325472044c5100587,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_12,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://nicklauschildrens.org/medical-professionals,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/medical-professionals.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_13,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://www.nicklauschildrens.org/careers,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/sm_cbf168f76d8feff0.txt,c6c09b70aa6189b76edc92a7c3ef65496ad320756873a5222195c9d2f29e405e,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_14,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://www.nicklauschildrens.org/careers,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/sm_cbf168f76d8feff0.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_15,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://www.nicklauschildrens.org/medical-professionals/news-research-innovation,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/sm_3e82d53f39121d31.txt,632a9644c67a2fdebc0f72070b5091082e6fed41d259234830934564c6e92656,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_16,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://www.nicklauschildrens.org/medical-professionals/news-research-innovation,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/sm_3e82d53f39121d31.html,,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_17,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://www.nicklauschildrens.org/programs-and-clinics/clinical-trials-research-studies,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/cleaned_text/sm_2d2484c108084440.txt,b33b2fd8d2585ab0bb19e38cdad9f70611d456d578f48dcf213b4f72674b6dca,2026-05-15T22:51:24.920Z,OK,
p102-0r-1,manifest_18,p102-fl-7-nicklaus-childrens,inst_nicklaus_childrens_hospital_fl,https://www.nicklauschildrens.org/programs-and-clinics/clinical-trials-research-studies,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-fl-7-nicklaus-childrens/raw_html/sm_2d2484c108084440.html,,2026-05-15T22:51:24.920Z,OK,
