schema_version,artifact_id,run_id,institution_id,source_url,artifact_type,path,sha256,captured_at,status,failure_reason
p102-0r-1,manifest_1,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/observership,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/cleaned_text/observership.txt,d87f94135e5aee1c47246b6391fc21a811d25bf6edd103c0ea3af73393dc2071,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_2,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/observership,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/raw_html/observership.html,,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_3,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/observerships,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/cleaned_text/observerships.txt,d87f94135e5aee1c47246b6391fc21a811d25bf6edd103c0ea3af73393dc2071,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_4,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/observerships,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/raw_html/observerships.html,,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_5,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/observer,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/cleaned_text/observer.txt,d87f94135e5aee1c47246b6391fc21a811d25bf6edd103c0ea3af73393dc2071,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_6,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/observer,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/raw_html/observer.html,,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_7,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/clinical-observer,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/cleaned_text/clinical-observer.txt,d87f94135e5aee1c47246b6391fc21a811d25bf6edd103c0ea3af73393dc2071,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_8,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/clinical-observer,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/raw_html/clinical-observer.html,,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_9,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/visiting-student,CLEANED_TEXT,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/cleaned_text/visiting-student.txt,d87f94135e5aee1c47246b6391fc21a811d25bf6edd103c0ea3af73393dc2071,2026-05-15T13:51:21.252Z,OK,
p102-0r-1,manifest_10,p102-pc-7-uab,inst_uab_hospital_al,https://uab.edu/visiting-student,RAW_HTML,/Volumes/T7Shield_Code/01_PROJECTS/USCEHub/11_LOCAL_EVIDENCE/p102-national-runner/artifacts/p102-pc-7-uab/raw_html/visiting-student.html,,2026-05-15T13:51:21.252Z,OK,
